variant,exact_c21_base,private_replay_weight,best_step,private_validation_gates,public_validation_gates,development_gates,public_validation_relation_head,public_validation_relation_probe,public_validation_relation_template_margin,public_train_template_probe,development_relation_head,development_relation_probe,development_relation_template_margin,development_centroid_top1,development_row_1nn,development_mrr,development_fact_silhouette,development_fact_template_margin,development_entity_probe,development_template_probe
P0,True,0.0,450,7,0,4,0.3958333432674408,0.2916666567325592,-0.08157515525817871,0.9722222089767456,0.6979166865348816,0.65625,0.15130147284516995,0.6510416666666666,0.6510416666666666,0.774331180971806,0.496890127658844,0.6055686771869659,0.9114583134651184,0.9166666865348816
P1,False,0.0,50,5,0,1,0.3333333432674408,0.375,-0.007173597812652588,0.9722222089767456,0.5104166865348816,0.6666666865348816,0.05193154242717557,0.6145833333333334,0.7083333333333334,0.7579811320045695,0.24244706332683563,0.23170822858810425,0.953125,0.9861111044883728
P2,False,1.0,250,7,0,4,0.4583333432674408,0.4166666567325592,-0.21107178926467896,0.9444444179534912,0.6302083134651184,0.6302083134651184,0.2798086269419603,0.6302083333333334,0.6354166666666666,0.7737819928609402,0.49712687730789185,0.6535157561302185,0.9114583134651184,1.0
