step,phase,main_learning_rate,relation_encoder_learning_rate,loss,fact_supcon_loss,relation_ce_loss,relation_supcon_loss,entity_ce_loss,template_adversary_loss,gradient_norm,validation_gate_count,validation_relation_head,validation_relation_probe,validation_relation_template_margin,validation_centroid_top1,validation_row_1nn,validation_mrr,validation_fact_template_margin,validation_fact_silhouette,validation_entity_probe,validation_template_probe
50,joint,0.0006666666666666666,0.0006666666666666666,2.9696297645568848,1.3903319835662842,1.1086864471435547,1.8954439163208008,2.7764809131622314,1.811390995979309,5.914330959320068,2,0.4375,0.8333333134651184,0.12835893348480265,0.78125,0.75,0.8266620821308321,0.41344887018203735,0.34962213039398193,0.8854166865348816,1.0
100,joint,0.0009993002688846913,0.0009993002688846913,2.2646987438201904,0.9371327757835388,0.6754825711250305,1.876554250717163,2.630803108215332,1.7670626640319824,2.8446273803710938,5,0.8125,0.8333333134651184,0.23474548280161495,0.7604166666666666,0.7604166666666666,0.8019589555958091,0.49900126457214355,0.5302185416221619,0.90625,1.0
150,joint,0.0009933608878242154,0.0009933608878242154,1.8726983070373535,0.7297767400741577,0.42277589440345764,1.8141120672225952,2.401115655899048,1.7697625160217285,1.012923002243042,5,0.8333333134651184,0.8333333134651184,0.41872579431995594,0.78125,0.7916666666666666,0.8326140873015873,0.6565596610307693,0.6242702603340149,0.9166666865348816,1.0
200,joint,0.0009814327739099229,0.0009814327739099229,1.7914601564407349,0.797142505645752,0.2254490852355957,1.8001608848571777,2.1521475315093994,1.8226271867752075,1.6298357248306274,4,0.8333333134651184,0.8333333134651184,0.35233851250571513,0.78125,0.7604166666666666,0.8258341672683903,0.6311847865581512,0.6676825881004333,0.8854166865348816,1.0
250,joint,0.0009636607182864827,0.0009636607182864827,1.6149444580078125,0.702178955078125,0.18049947917461395,1.794983148574829,1.8669296503067017,1.80266273021698,0.3152046799659729,5,0.8333333134651184,0.8333333134651184,0.3910767045337707,0.78125,0.7916666666666666,0.8292485530537,0.6761864870786667,0.696451723575592,0.9166666865348816,0.9861111044883728
300,joint,0.0009402604496344984,0.0009402604496344984,1.5817959308624268,0.7214416265487671,0.11507687717676163,1.7949397563934326,1.7752851247787476,1.775417685508728,0.5856376886367798,5,0.8333333134651184,0.8333333134651184,0.39881556969032517,0.7708333333333334,0.7604166666666666,0.8255883192923634,0.674916997551918,0.7084938883781433,0.9166666865348816,1.0
350,joint,0.0009115160155165614,0.0009115160155165614,1.562106966972351,0.7216267585754395,0.09087780863046646,1.7933048009872437,1.729586124420166,1.8092635869979858,0.7800238132476807,6,0.8333333134651184,0.8333333134651184,0.369166017535867,0.8020833333333334,0.8020833333333334,0.8405599076240523,0.6446296274662018,0.7225931286811829,0.9166666865348816,0.875
400,joint,0.0008777763344246211,0.0008777763344246211,1.4682255983352661,0.7072204351425171,0.0736534371972084,1.7933658361434937,1.385190486907959,1.7693418264389038,0.2938750088214874,6,0.8333333134651184,0.8333333134651184,0.3947753532846441,0.8020833333333334,0.7916666666666666,0.8370265518131372,0.665572002530098,0.7328746318817139,0.9166666865348816,0.8888888955116272
450,joint,0.0008394509603821498,0.0008394509603821498,1.430364727973938,0.7016837000846863,0.06835919618606567,1.7928284406661987,1.235141634941101,1.7781480550765991,0.234707310795784,5,0.8333333134651184,0.8333333134651184,0.3994906142383924,0.7916666666666666,0.78125,0.8420798373923374,0.7023797929286957,0.7454175353050232,0.9270833134651184,0.8888888955116272
500,joint,0.0007970051115130965,0.0007970051115130965,1.4174346923828125,0.7072200775146484,0.05996483564376831,1.7930848598480225,1.1619460582733154,1.7845193147659302,0.39790037274360657,5,0.8333333134651184,0.8333333134651184,0.4015815717152388,0.78125,0.78125,0.8345614982103952,0.6989003419876099,0.7488513588905334,0.9270833134651184,0.8333333134651184
550,joint,0.0007509540229240601,0.0007509540229240601,1.4048755168914795,0.6987036466598511,0.047234490513801575,1.7928327322006226,1.1639924049377441,1.8237918615341187,0.19522665441036224,5,0.8333333134651184,0.8333333134651184,0.4143832975151276,0.78125,0.7916666666666666,0.837820202606788,0.6844089925289154,0.7527139782905579,0.9375,0.75
600,joint,0.0007018566924480542,0.0007018566924480542,1.3662956953048706,0.6989261507987976,0.044977378100156784,1.7925012111663818,0.9845738410949707,1.7893162965774536,0.15652626752853394,5,0.8333333134651184,0.8333333134651184,0.39802586560674375,0.7916666666666666,0.78125,0.8355489417989418,0.6523669809103012,0.7502224445343018,0.9375,0.7777777910232544
650,joint,0.0006503090951680512,0.0006503090951680512,1.3521054983139038,0.6955868005752563,0.04139147326350212,1.7926976680755615,0.9336642622947693,1.8110103607177734,0.17089127004146576,5,0.8333333134651184,0.8333333134651184,0.38172100339935344,0.7708333333333334,0.7708333333333334,0.8247189153439153,0.6507514119148254,0.752651035785675,0.9479166865348816,0.8472222089767456
