cycle,private_ce,paraphrase_kl,contrastive_loss,public_kl,public_residual_loss,private_gradient_norm,private_public_gradient_cosine,learning_rate,elapsed_seconds
1,12.517118453979492,0.8524753451347351,0.0,0.0,0.0,0.12060546875,,2.666666666666667e-05,1.0285179000347853
25,10.503595352172852,1.1314027309417725,0.0,0.0,0.0,0.58984375,,0.0006666666666666666,2.97947660041973
50,7.623132705688477,0.23590187728405,0.0,0.0,0.0,0.859375,,0.0013333333333333333,4.983045200351626
75,6.8638482093811035,0.1318802833557129,0.0,0.0,0.0,0.8125,,0.002,6.704658500384539
100,6.537330627441406,0.10971813648939133,0.0,0.0,0.0,0.80859375,,0.001966315789473684,8.354698400013149
125,6.089704513549805,0.0484725758433342,0.0,0.0,0.0,0.7890625,,0.0019312280701754385,9.923518500290811
150,5.816478252410889,0.02573242411017418,0.0,0.0,0.0,0.8671875,,0.0018961403508771931,11.57755669998005
175,5.810501575469971,0.04165129363536835,0.0,0.0,0.0,0.70703125,,0.0018610526315789473,13.408193100243807
200,5.95100212097168,0.02069333754479885,0.0,0.0,0.0,0.7265625,,0.0018259649122807017,14.988086800090969
225,5.071396827697754,0.03848029300570488,0.0,0.0,0.0,0.73046875,,0.0017908771929824562,16.665946500375867
250,5.000296115875244,0.045464642345905304,0.0,0.0,0.0,0.73828125,,0.0017557894736842106,18.244716100394726
275,5.269826889038086,0.02303547039628029,0.0,0.0,0.0,0.7109375,,0.001720701754385965,19.87539410032332
300,5.9814252853393555,0.04295288026332855,0.0,0.0,0.0,0.71875,,0.0016856140350877194,21.616656200028956
325,5.637939929962158,0.09175683557987213,0.0,0.0,0.0,0.71484375,,0.0016505263157894736,23.440156999975443
350,5.016206741333008,0.0646590143442154,0.0,0.0,0.0,0.78515625,,0.0016154385964912282,25.112192600034177
375,5.594219207763672,0.1606365293264389,0.0,0.0,0.0,0.6796875,,0.0015803508771929824,26.80604960024357
400,5.712257385253906,0.20867592096328735,0.0,0.0,0.0,0.74609375,,0.0015452631578947368,28.411898400168866
425,5.38682222366333,0.20305907726287842,0.0,0.0,0.0,0.91015625,,0.0015101754385964913,30.018067700322717
450,4.7636799812316895,0.12593519687652588,0.0,0.0,0.0,0.94140625,,0.0014750877192982457,31.738669600337744
475,4.965075492858887,0.28915297985076904,0.0,0.0,0.0,1.125,,0.0014399999999999999,33.48655860032886
500,4.256231307983398,0.33667421340942383,0.0,0.0,0.0,0.98046875,,0.0014049122807017545,35.121482300106436
525,4.781345367431641,0.12691746652126312,0.0,0.0,0.0,0.9609375,,0.0013698245614035087,36.81755500007421
550,3.966728448867798,0.18681851029396057,0.0,0.0,0.0,0.9140625,,0.0013347368421052633,38.38665180001408
575,4.158276081085205,0.1048131063580513,0.0,0.0,0.0,0.9921875,,0.0012996491228070175,39.900035600177944
600,4.420109272003174,0.29909399151802063,0.0,0.0,0.0,1.2734375,,0.001264561403508772,41.594491000287235
625,3.5024099349975586,0.3417133688926697,0.0,0.0,0.0,1.2265625,,0.0012294736842105264,43.375575500074774
650,4.091731071472168,0.23047271370887756,0.0,0.0,0.0,1.09375,,0.0011943859649122808,45.06991400010884
675,3.4660727977752686,0.32957857847213745,0.0,0.0,0.0,1.1171875,,0.001159298245614035,46.69836680032313
700,3.0147690773010254,0.3046376407146454,0.0,0.0,0.0,1.2265625,,0.0011242105263157896,48.331628900021315
725,3.6951770782470703,0.13799618184566498,0.0,0.0,0.0,1.25,,0.0010891228070175438,49.936519199982285
750,4.417560577392578,0.2128179669380188,0.0,0.0,0.0,1.28125,,0.0010540350877192984,51.62374690035358
775,3.2517528533935547,0.3750321567058563,0.0,0.0,0.0,1.265625,,0.0010189473684210526,53.35592090012506
800,3.9070844650268555,0.19168834388256073,0.0,0.0,0.0,1.0234375,,0.000983859649122807,55.11351749999449
825,3.2003514766693115,0.6445044279098511,0.0,0.0,0.0,1.25,,0.0009487719298245614,56.811830000020564
850,2.9930312633514404,0.2919440269470215,0.0,0.0,0.0,1.0703125,,0.0009136842105263158,58.46176410000771
875,3.558394432067871,0.14727169275283813,0.0,0.0,0.0,1.5546875,,0.0008785964912280702,60.109684800263494
900,4.182926177978516,0.10881216078996658,0.0,0.0,0.0,1.2109375,,0.0008435087719298245,61.766624900046736
925,3.950770616531372,0.2856031060218811,0.0,0.0,0.0,1.15625,,0.0008084210526315789,63.41658790037036
950,2.944962501525879,0.31018131971359253,0.0,0.0,0.0,1.2421875,,0.0007733333333333333,65.17656970024109
975,3.8564538955688477,0.29874810576438904,0.0,0.0,0.0,1.9140625,,0.0007382456140350878,66.72971500037238
1000,3.2215583324432373,0.39545518159866333,0.0,0.0,0.0,1.65625,,0.0007031578947368421,68.28667170042172
1025,3.861517906188965,0.19980239868164062,0.0,0.0,0.0,1.3359375,,0.0006680701754385965,69.85621530003846
1050,2.9324791431427,0.2610432505607605,0.0,0.0,0.0,1.234375,,0.0006329824561403509,71.44589309999719
1075,3.67423152923584,0.30544614791870117,0.0,0.0,0.0,1.234375,,0.0005978947368421053,73.33236640039831
1100,4.616315841674805,0.35311710834503174,0.0,0.0,0.0,1.3671875,,0.0005628070175438596,74.92965910024941
1125,2.2933034896850586,0.2765503525733948,0.0,0.0,0.0,1.53125,,0.000527719298245614,76.62419080035761
1150,3.083435535430908,0.192399263381958,0.0,0.0,0.0,1.1875,,0.0004926315789473684,78.22085950011387
1175,2.4084906578063965,0.5571865439414978,0.0,0.0,0.0,1.5234375,,0.0004575438596491228,79.91305970028043
1200,4.121332168579102,0.28891897201538086,0.0,0.0,0.0,1.375,,0.0004224561403508772,81.53370670042932
1225,2.570838212966919,0.43407517671585083,0.0,0.0,0.0,1.4453125,,0.0003873684210526316,83.24753290042281
1250,3.014070987701416,0.4860455393791199,0.0,0.0,0.0,1.25,,0.000352280701754386,84.95453000022098
1275,3.512284755706787,0.23113933205604553,0.0,0.0,0.0,1.265625,,0.00031719298245614036,86.52133900020272
