step,phase,main_learning_rate,relation_encoder_learning_rate,loss,fact_supcon_loss,relation_ce_loss,relation_supcon_loss,entity_ce_loss,template_adversary_loss,gradient_norm,validation_gate_count,validation_relation_head,validation_relation_probe,validation_relation_template_margin,validation_centroid_top1,validation_row_1nn,validation_mrr,validation_fact_template_margin,validation_fact_silhouette,validation_entity_probe,validation_template_probe
50,relation_pretrain,0.0006666666666666666,0.0006666666666666666,0.9992901086807251,0.0,1.0728861093521118,1.8579577207565308,0.0,1.8251110315322876,0.5734589695930481,1,0.6666666865348816,0.8333333134651184,0.27828274820413856,0.4270833333333333,0.4791666666666667,0.563867758598362,0.11523759365081787,-0.09726506471633911,0.7708333134651184,1.0
100,relation_pretrain,0.0009993002688846913,0.0009993002688846913,0.7352805137634277,0.0,0.5580816864967346,1.8350541591644287,0.0,1.7845767736434937,0.5963814854621887,2,0.8333333134651184,0.8333333134651184,0.4646476187381066,0.23958333333333334,0.14583333333333334,0.37117354055213786,0.3353191316127777,-0.17848283052444458,0.7083333134651184,1.0
150,relation_pretrain,0.0009933608878242154,0.0009933608878242154,0.6245136857032776,0.0,0.35137590765953064,1.7960914373397827,0.0,1.7921485900878906,0.18546870350837708,2,0.8333333134651184,0.8333333134651184,0.3364572345382637,0.23958333333333334,0.22916666666666666,0.38146766188521014,0.3274651765823364,-0.17187285423278809,0.8020833134651184,1.0
200,relation_pretrain,0.0009814327739099229,0.0009814327739099229,0.557546854019165,0.0,0.21160419285297394,1.797389268875122,0.0,1.8453387022018433,0.15628409385681152,2,0.8333333134651184,0.8333333134651184,0.33300684762911664,0.28125,0.22916666666666666,0.41283009075986854,0.3347044885158539,-0.16360321640968323,0.78125,1.0
250,relation_pretrain,0.0009636607182864827,0.0009636607182864827,0.532123863697052,0.0,0.16555243730545044,1.7940114736557007,0.0,1.810907006263733,0.09609463810920715,2,0.8333333134651184,0.8333333134651184,0.3309451065491885,0.3125,0.25,0.4348551772118698,0.33215126395225525,-0.1529013067483902,0.7708333134651184,1.0
300,relation_pretrain,0.0009402604496344984,0.0009402604496344984,0.5049238204956055,0.0,0.11391294002532959,1.7929561138153076,0.0,1.7875229120254517,0.06767634302377701,2,0.8333333134651184,0.8333333134651184,0.3497927501823546,0.3125,0.2604166666666667,0.4390420933618277,0.3420771062374115,-0.1507565975189209,0.7604166865348816,1.0
350,joint,0.0009115160155165614,0.00018230320310331228,1.9198122024536133,0.8809177279472351,0.09636453539133072,1.794264793395996,2.706697463989258,1.8103948831558228,3.0415103435516357,4,0.8333333134651184,0.8333333134651184,0.3831271997239027,0.7604166666666666,0.7708333333333334,0.8033376740480666,0.550456315279007,0.46134352684020996,0.8645833134651184,0.9861111044883728
400,joint,0.0008777763344246211,0.00017555526688492422,1.7159909009933472,0.7440081834793091,0.0771750807762146,1.7944196462631226,2.429804563522339,1.7710040807724,0.9220622777938843,5,0.8333333134651184,0.8333333134651184,0.3859885609553506,0.7916666666666666,0.8020833333333334,0.8295387097380632,0.5950115323066711,0.6176615953445435,0.9270833134651184,0.9444444179534912
450,joint,0.0008394509603821498,0.00016789019207642998,1.6449190378189087,0.7186698913574219,0.06844844669103622,1.7931913137435913,2.22419810295105,1.7709420919418335,0.5101863741874695,7,0.8333333134651184,0.8333333134651184,0.4055315425296107,0.8020833333333334,0.8125,0.8519272292250233,0.7016213536262512,0.698758065700531,0.9375,0.9166666865348816
500,joint,0.0007970051115130965,0.00015940102230261932,1.6297494173049927,0.7458337545394897,0.06225667521357536,1.7928141355514526,2.027555227279663,1.7742687463760376,1.028740406036377,5,0.8333333134651184,0.8333333134651184,0.3974905860041973,0.7604166666666666,0.8020833333333334,0.8172500478627124,0.6108003556728363,0.6780920028686523,0.9166666865348816,0.9583333134651184
