variant,mechanism_passed,seen_accuracy,validation_accuracy,unseen_accuracy,worst_test_template_accuracy,test_template_accuracy_std,answer_agreement,core_test_accuracy,test_exact_match,public_relative_nll_increase,public_kl,public_top1_agreement,access_gap,localization_score,anti_signal,mean_residual_selectivity,mean_gradient_cosine,negative_gradient_cosine_fraction,core_unchanged
B0,False,0.3055555555555556,0.2916666666666667,0.3333333333333333,0.25,0.08333333333333334,0.75,0.3333333333333333,0.0,4.285007946503512e-05,0.00022409324446925893,0.99609375,0.0,0.0,0.0,2.8254831461591237,,,True
B1,False,0.3194444444444444,0.2916666666666667,0.3333333333333333,0.25,0.08333333333333334,0.75,0.3333333333333333,0.0,-0.00011057943976232023,0.00016868102829903364,0.994140625,0.0,0.0,0.0,2.0750306718300022,0.14407473802566528,0.5,True
B2,False,0.3194444444444444,0.2916666666666667,0.3333333333333333,0.25,0.08333333333333334,0.75,0.3333333333333333,0.0,-0.00030668414017117994,0.0001704623718978837,0.99609375,0.0,0.0,0.0,2.0531951476829677,0.13058122992515564,0.5,True
B3,False,0.3194444444444444,0.2916666666666667,0.3333333333333333,0.25,0.08333333333333334,0.75,0.3333333333333333,0.0,-0.0004601136593985353,0.00013371050590649247,0.994140625,0.0,0.0,0.0,1.5366234781588632,0.1509276833385229,0.0,True
