benchmark,variant,known_accuracy,known_coverage,accepted_route_accuracy,safe_coverage,wrong_bucket_access_rate,false_memory_access_rate,oos_recall,oos_f1,worst_intent_accuracy
CLINC150,R0,0.9801,1.0000,0.9801,0.9801,0.0199,1.0000,0.0000,0.0000,0.7867
CLINC150,R2,0.9644,1.0000,0.9644,0.9644,0.0356,1.0000,0.0000,0.0000,0.7100
CLINC150,MAX_THRESHOLD,0.8204,0.8403,0.9764,0.8204,0.0199,0.1417,0.8582,0.8946,0.1000
CLINC150,R3,0.2583,0.2589,0.9963,0.2583,0.0007,0.0122,0.9878,0.8725,0.0000
BANKING77_OPEN,R0,0.9408,1.0000,0.9408,0.9408,0.0592,1.0000,0.0000,0.0000,0.7825
BANKING77_OPEN,R2,0.9075,1.0000,0.9075,0.9075,0.0925,1.0000,0.0000,0.0000,0.6075
BANKING77_OPEN,MAX_THRESHOLD,0.7895,0.8433,0.9364,0.7895,0.0538,0.2813,0.7187,0.7037,0.4225
BANKING77_OPEN,R3,0.1774,0.1790,0.9910,0.1774,0.0016,0.0033,0.9967,0.5416,0.0100
