step,learning_rate,loss,public_loss,public_relation_ce_loss,public_relation_supcon_loss,public_template_adversary_loss,private_loss,private_fact_supcon_loss,private_relation_ce_loss,private_relation_supcon_loss,private_template_adversary_loss,gradient_norm,private_validation_gate_count,public_validation_gate_count,private_validation_relation_head,private_validation_centroid_top1,public_validation_relation_head,public_validation_relation_probe,public_validation_relation_template_margin,public_train_template_probe
50,0.0002,2.6910362243652344,1.4728657007217407,1.5120506286621094,2.954449415206909,2.519009828567505,1.2181706428527832,0.7225136756896973,0.0944485068321228,1.7954438924789429,1.786877989768982,2.284166097640991,7,0,0.8333333134651184,0.8020833333333334,0.4375,0.3333333432674408,-0.04449915885925293,0.9583333134651184
100,0.00019869002134404235,2.5266971588134766,1.2736155986785889,1.1677507162094116,2.827366352081299,2.485339879989624,1.2530815601348877,0.7490525245666504,0.10904043912887573,1.7998714447021484,1.7906904220581055,2.8120861053466797,5,0,0.8333333134651184,0.8020833333333334,0.4166666567325592,0.4166666567325592,-0.10083264112472534,0.9861111044883728
150,0.0001946885829634935,2.4061079025268555,1.1934417486190796,1.0331984758377075,2.75105619430542,2.5326249599456787,1.2126662731170654,0.7189072370529175,0.08567861467599869,1.8102741241455078,1.7772983312606812,2.6899590492248535,6,0,0.8333333134651184,0.8020833333333334,0.5,0.4166666567325592,-0.14157944917678833,0.9722222089767456
200,0.00018810428687441414,2.542917013168335,1.2528538703918457,1.1665377616882324,2.7351465225219727,2.451115369796753,1.2900631427764893,0.7613407373428345,0.10309766978025436,1.9374806880950928,1.7935500144958496,8.497603416442871,5,0,0.8333333134651184,0.8020833333333334,0.3958333432674408,0.4583333432674408,-0.31329774856567383,0.9722222089767456
250,0.00017911673551013551,1.8437044620513916,0.5980530977249146,0.3933638632297516,1.387923240661621,2.4757301807403564,1.245651364326477,0.765526294708252,0.0611315481364727,1.795233130455017,1.8102535009384155,2.5465590953826904,7,0,0.8333333134651184,0.8125,0.4583333432674408,0.4166666567325592,-0.21107178926467896,0.9444444179534912
300,0.00016797108584307732,2.0830867290496826,0.8783831000328064,0.6653932929039001,2.107348918914795,2.4843339920043945,1.204703688621521,0.7266793251037598,0.06057296320796013,1.7938921451568604,1.7791881561279297,6.938236236572266,7,0,0.8333333134651184,0.8125,0.4166666567325592,0.4375,-0.3614700138568878,0.9722222089767456
350,0.00015497136214161664,1.9006736278533936,0.6970048546791077,0.2932891547679901,2.1280572414398193,2.494976043701172,1.2036688327789307,0.7282349467277527,0.05540502071380615,1.7928950786590576,1.7830463647842407,5.130954742431641,6,0,0.8333333134651184,0.8125,0.4166666567325592,0.4166666567325592,-0.22623217105865479,0.9861111044883728
400,0.00014047216298057873,1.777409315109253,0.5871582627296448,0.29575732350349426,1.5906445980072021,2.423013210296631,1.1902509927749634,0.7116407155990601,0.06032424792647362,1.795952558517456,1.7851530313491821,5.496485710144043,6,0,0.8333333134651184,0.8125,0.3958333432674408,0.3541666567325592,-0.18625801801681519,0.9861111044883728
450,0.0001248689887164855,1.6960314512252808,0.4849787950515747,0.15135779976844788,1.4356365203857422,2.4434518814086914,1.211052656173706,0.7368144392967224,0.05127190425992012,1.7942003011703491,1.7952450513839722,2.897021770477295,6,0,0.8333333134651184,0.8125,0.4583333432674408,0.3541666567325592,-0.2058819830417633,0.9861111044883728
500,0.00010858745326882171,1.831680417060852,0.6248923540115356,0.16693991422653198,2.0953116416931152,2.4472010135650635,1.2067880630493164,0.7284717559814453,0.057541072368621826,1.7939170598983765,1.81524658203125,4.849895477294922,6,0,0.8333333134651184,0.8125,0.4166666567325592,0.4166666567325592,-0.19292789697647095,0.9861111044883728
550,9.20716744818044e-05,1.7705823183059692,0.5673786401748657,0.23369918763637543,1.6343282461166382,2.4732675552368164,1.2032036781311035,0.7318560481071472,0.04778499901294708,1.7928168773651123,1.777834415435791,5.4188761711120605,6,0,0.8333333134651184,0.8125,0.4166666567325592,0.4583333432674408,-0.2984078526496887,0.9861111044883728
600,7.577215974732137e-05,1.6406593322753906,0.4480670392513275,0.0893564447760582,1.392856478691101,2.4963505268096924,1.1925922632217407,0.7173243761062622,0.053116846829652786,1.7951487302780151,1.7935937643051147,1.1425188779830933,6,0,0.8333333134651184,0.8125,0.4583333432674408,0.4166666567325592,-0.19226640462875366,0.9861111044883728
650,6.01335173376655e-05,1.8047564029693604,0.6005343794822693,0.10778938978910446,2.109445333480835,2.4950125217437744,1.2042219638824463,0.7333575487136841,0.04411230981349945,1.793349266052246,1.802769660949707,4.892321586608887,6,0,0.8333333134651184,0.8125,0.4583333432674408,0.4166666567325592,-0.17031022906303406,0.9861111044883728
700,4.55823286508741e-05,1.7164080142974854,0.5408605337142944,0.08096446841955185,1.8797552585601807,2.4885447025299072,1.175547480583191,0.7012273669242859,0.04993923380970955,1.8004300594329834,1.7852894067764282,1.9191832542419434,6,0,0.8333333134651184,0.8125,0.4583333432674408,0.4166666567325592,-0.21919500827789307,0.9861111044883728
750,3.25155121822048e-05,1.711538553237915,0.5247798562049866,0.06371165812015533,1.835754156112671,2.5154640674591064,1.1867586374282837,0.7168817520141602,0.0435088574886322,1.7954000234603882,1.7808490991592407,1.0505790710449219,6,0,0.8333333134651184,0.8125,0.4375,0.3958333432674408,-0.21139883995056152,0.9861111044883728
800,2.1289496622274753e-05,1.6228184700012207,0.4347686171531677,0.07138661295175552,1.3664735555648804,2.5156118869781494,1.1880499124526978,0.714847207069397,0.04851650074124336,1.7985427379608154,1.7847185134887695,0.5478079915046692,6,0,0.8333333134651184,0.8125,0.4375,0.3541666567325592,-0.2033463716506958,0.9861111044883728
850,1.2210498411520255e-05,1.7427606582641602,0.5277264714241028,0.06537654250860214,1.853872299194336,2.4852750301361084,1.2150342464447021,0.7432430982589722,0.043412208557128906,1.8014094829559326,1.7960615158081055,0.947065532207489,6,0,0.8333333134651184,0.8125,0.4583333432674408,0.4166666567325592,-0.20834514498710632,0.9861111044883728
900,5.5261689539487515e-06,1.6417452096939087,0.44612106680870056,0.07521665841341019,1.4215086698532104,2.484220027923584,1.1956241130828857,0.7233294248580933,0.04810337349772453,1.7957137823104858,1.7820037603378296,2.157382011413574,6,0,0.8333333134651184,0.8125,0.4583333432674408,0.3958333432674408,-0.21455660462379456,0.9861111044883728
950,1.4188393324163663e-06,1.7714430093765259,0.5611450672149658,0.08573511242866516,1.96565580368042,2.5029265880584717,1.21029794216156,0.7363543510437012,0.04917236045002937,1.7939203977584839,1.8114663362503052,2.821481227874756,6,0,0.8333333134651184,0.8125,0.4375,0.3958333432674408,-0.2073552906513214,0.9861111044883728
1000,5.467919892865325e-10,1.6188313961029053,0.44655972719192505,0.09052842855453491,1.3916807174682617,2.4591877460479736,1.172271728515625,0.702696681022644,0.042117420583963394,1.7938385009765625,1.7949727773666382,1.0720367431640625,6,0,0.8333333134651184,0.8125,0.4583333432674408,0.3958333432674408,-0.20741379261016846,0.9861111044883728
