step,learning_rate,loss,fact_loss,relation_loss,entity_loss,template_loss,template_adversary_weight,gradient_norm,validation_row_1nn,validation_centroid_top1,validation_mrr,validation_fact_template_margin,validation_fact_silhouette,validation_relation_probe,validation_entity_probe,validation_template_probe,validation_partial_gate_count
50,0.0006666666666666666,1.279780387878418,1.279780387878418,1.1168636083602905,2.761969804763794,1.8110742568969727,0.0,5.485668182373047,0.6354166666666666,0.625,0.7504009589947089,0.40632712841033936,0.13170939683914185,0.8333333134651184,0.7604166865348816,1.0,6
100,0.0009993002688846913,0.96214759349823,0.96214759349823,1.126813530921936,2.7645819187164307,1.7942367792129517,0.0,6.208914756774902,0.53125,0.5833333333333334,0.687189565924378,0.33570775389671326,0.27680203318595886,0.8333333134651184,0.7604166865348816,1.0,4
150,0.0009933608878242154,0.8458698987960815,0.8458698987960815,1.1348384618759155,2.7234277725219727,1.8049921989440918,0.0,3.435861825942993,0.71875,0.7291666666666666,0.8040798092791627,0.5269622802734375,0.4791141450405121,0.8333333134651184,0.8125,1.0,6
200,0.0009814327739099229,0.7290210723876953,0.7290210723876953,1.1283584833145142,2.76031756401062,1.7959681749343872,0.0,1.1895060539245605,0.7291666666666666,0.7083333333333334,0.783619037892935,0.4993603229522705,0.5455774664878845,0.8333333134651184,0.8020833134651184,0.9861111044883728,6
250,0.0009636607182864827,0.7284040451049805,0.7284040451049805,1.0979700088500977,2.7347164154052734,1.7791134119033813,0.0,0.8887324929237366,0.78125,0.78125,0.8317006208613713,0.48790597915649414,0.5866032838821411,0.8333333134651184,0.875,0.9305555820465088,6
300,0.0009402604496344984,0.7041565775871277,0.7041565775871277,1.1108137369155884,2.7805492877960205,1.7872158288955688,0.0,0.31782472133636475,0.78125,0.7916666666666666,0.8298790421323315,0.5557936429977417,0.6285117268562317,0.8333333134651184,0.8645833134651184,0.9861111044883728,6
350,0.0009115160155165614,0.7070385813713074,0.7070385813713074,1.1006718873977661,2.765467882156372,1.8024441003799438,0.0,0.4424575865268707,0.78125,0.8020833333333334,0.8458378427128427,0.6111800074577332,0.6706356406211853,0.8333333134651184,0.8958333134651184,0.9722222089767456,6
400,0.0008777763344246211,0.712826669216156,0.712826669216156,1.1019846200942993,2.7396535873413086,1.7850457429885864,0.0,0.539322555065155,0.78125,0.7916666666666666,0.8333730841839831,0.5894620418548584,0.6663985848426819,0.8333333134651184,0.8854166865348816,0.9027777910232544,6
450,0.0008394509603821498,0.7447609305381775,0.7447609305381775,1.1131410598754883,2.7674005031585693,1.7951616048812866,0.0,1.166326880455017,0.7916666666666666,0.8020833333333334,0.8469775016650017,0.6091036051511765,0.7027787566184998,0.8333333134651184,0.90625,0.9722222089767456,6
500,0.0007970051115130965,0.6981083750724792,0.6981083750724792,1.1237996816635132,2.7442352771759033,1.779157280921936,0.0,0.1365596503019333,0.7916666666666666,0.7916666666666666,0.8330977182539683,0.5921167433261871,0.7099933624267578,0.8333333134651184,0.8958333134651184,0.7916666865348816,6
550,0.0007509540229240601,0.7139248847961426,0.7139248847961426,1.1164336204528809,2.806455373764038,1.797299861907959,0.0,0.6477338671684265,0.7916666666666666,0.8020833333333334,0.8506200396825396,0.6076166927814484,0.7043678164482117,0.8333333134651184,0.9166666865348816,0.8611111044883728,6
600,0.0007018566924480542,0.7353233098983765,0.7353233098983765,1.104542851448059,2.77325701713562,1.7703394889831543,0.0,1.2762740850448608,0.7916666666666666,0.8125,0.8498283034685961,0.5871429741382599,0.7116373181343079,0.8333333134651184,0.8958333134651184,0.8333333134651184,6
650,0.0006503090951680512,0.7014182806015015,0.7014182806015015,1.101354718208313,2.6893374919891357,1.7822805643081665,0.0,0.2268042117357254,0.8020833333333334,0.8020833333333334,0.8523313492063492,0.6120275855064392,0.7069549560546875,0.8333333134651184,0.8958333134651184,0.9027777910232544,6
700,0.0005969369490868042,0.7027915716171265,0.7027915716171265,1.1129155158996582,2.7274796962738037,1.806512475013733,0.0,0.22827346622943878,0.8020833333333334,0.8020833333333334,0.8390788465007214,0.6014978289604187,0.7124342918395996,0.8333333134651184,0.90625,0.9027777910232544,6
750,0.0005423881197579144,0.7114442586898804,0.7114442586898804,1.1133804321289062,2.820173978805542,1.7861665487289429,0.0,0.5639228820800781,0.8020833333333334,0.8020833333333334,0.8466939837803809,0.6219528168439865,0.722285270690918,0.8333333134651184,0.90625,0.8611111044883728,6
800,0.0004873247560756324,0.7217029333114624,0.7217029333114624,1.103614330291748,2.740833282470703,1.8070601224899292,0.0,0.7740958333015442,0.8020833333333334,0.8020833333333334,0.8446887025012025,0.6097112447023392,0.7229946255683899,0.8333333134651184,0.90625,0.8611111044883728,6
850,0.0004324152526842517,0.7018003463745117,0.7018003463745117,1.1076551675796509,2.7872142791748047,1.8117585182189941,0.0,0.2995258867740631,0.7916666666666666,0.8020833333333334,0.8437570598973525,0.5897286385297775,0.721498429775238,0.8333333134651184,0.8854166865348816,0.7777777910232544,6
900,0.0003783261365725592,0.696868360042572,0.696868360042572,1.115734577178955,2.6838252544403076,1.782072901725769,0.0,0.11447596549987793,0.8125,0.8020833333333334,0.8468078290343916,0.625203013420105,0.7264764308929443,0.8333333134651184,0.90625,0.6666666865348816,6
950,0.0003257139763390925,0.696630597114563,0.696630597114563,1.1208335161209106,2.7710506916046143,1.7942771911621094,0.0,0.13321058452129364,0.8125,0.8020833333333334,0.8462430063992564,0.6297242194414139,0.7307419776916504,0.8333333134651184,0.90625,0.5972222089767456,6
1000,0.000275217412338765,0.6981760859489441,0.6981760859489441,1.118536353111267,2.7358033657073975,1.7930012941360474,0.0,0.16790971159934998,0.8020833333333334,0.8125,0.8487227182539683,0.6163471937179565,0.7229977250099182,0.8333333134651184,0.90625,0.6111111044883728,6
1050,0.00022744940445408203,0.6957048177719116,0.6957048177719116,1.105130910873413,2.7560062408447266,1.8006235361099243,0.0,0.08263199776411057,0.8125,0.8020833333333334,0.8424772987272987,0.6117783635854721,0.7286670207977295,0.8333333134651184,0.90625,0.6527777910232544,6
1100,0.0001829897915925055,0.6988310217857361,0.6988310217857361,1.1115657091140747,2.7127625942230225,1.8032779693603516,0.0,0.15894170105457306,0.8020833333333334,0.7916666666666666,0.8415331774706775,0.6142118573188782,0.7353144288063049,0.8333333134651184,0.90625,0.6111111044883728,6
1150,0.00014237825322758736,0.6997747421264648,0.6997747421264648,1.1162461042404175,2.766005516052246,1.7961540222167969,0.0,0.2097110003232956,0.8125,0.8020833333333334,0.8430940632832081,0.6160171627998352,0.7312003970146179,0.8333333134651184,0.8958333134651184,0.5972222089767456,6
1200,0.00010610775842122971,0.697457492351532,0.697457492351532,1.1115493774414062,2.793323278427124,1.8075871467590332,0.0,0.1538865864276886,0.8125,0.8125,0.8500783492970992,0.6102610975503922,0.7353917956352234,0.8333333134651184,0.90625,0.5972222089767456,6
1250,7.461858184706777e-05,0.6957818865776062,0.6957818865776062,1.1011861562728882,2.8230655193328857,1.7875627279281616,0.0,0.10289044678211212,0.8125,0.8125,0.850616352960103,0.6155878305435181,0.7356076836585999,0.8333333134651184,0.90625,0.6111111044883728,6
1300,4.829295945234258e-05,0.697969377040863,0.697969377040863,1.1265313625335693,2.725825309753418,1.7805992364883423,0.0,0.1532232165336609,0.8125,0.8020833333333334,0.8443510528214476,0.6129055321216583,0.7379622459411621,0.8333333134651184,0.90625,0.5972222089767456,6
1350,2.7450448631293034e-05,0.700713574886322,0.700713574886322,1.125968098640442,2.7481367588043213,1.7822691202163696,0.0,0.26137575507164,0.8125,0.8020833333333334,0.8443084825897326,0.6128458231687546,0.7371224761009216,0.8333333134651184,0.9166666865348816,0.5694444179534912,6
1400,1.2344049231273301e-05,0.6982649564743042,0.6982649564743042,1.1102204322814941,2.764911651611328,1.7981113195419312,0.0,0.15653441846370697,0.8125,0.8020833333333334,0.8488595738595738,0.621682420372963,0.7360723614692688,0.8333333134651184,0.9166666865348816,0.5694444179534912,6
1450,3.1571324773286282e-06,0.6971944570541382,0.6971944570541382,1.1077159643173218,2.7527503967285156,1.7874832153320312,0.0,0.12557627260684967,0.8125,0.8020833333333334,0.8477387328949829,0.6212319880723953,0.7364047169685364,0.8333333134651184,0.9166666865348816,0.5694444179534912,6
1500,1.2150939247002058e-09,0.7004532814025879,0.7004532814025879,1.1058512926101685,2.741328477859497,1.7915678024291992,0.0,0.22415784001350403,0.8125,0.8020833333333334,0.8477387328949829,0.621041938662529,0.7364972233772278,0.8333333134651184,0.9166666865348816,0.5694444179534912,6
