variant,mechanism_passed,seen_accuracy,validation_accuracy,unseen_accuracy,worst_test_template_accuracy,test_template_accuracy_std,answer_agreement,core_test_accuracy,test_exact_match,public_relative_nll_increase,public_kl,public_top1_agreement,access_gap,localization_score,anti_signal,mean_residual_selectivity,mean_gradient_cosine,negative_gradient_cosine_fraction,core_unchanged
B0,False,0.5729166666666666,0.25,0.23958333333333334,0.16666666666666666,0.054126587736527426,0.24305555555555555,0.11979166666666667,0.11458333333333333,0.7783633302253894,2.459433352947235,0.148583984375,0.11979166666666667,1.0,0.005208333333333329,1.3006625751108332,,,True
B1,False,0.4652777777777778,0.23958333333333334,0.203125,0.16666666666666666,0.03081291553697717,0.25,0.11979166666666667,0.0625,0.0001503733332102024,0.0027665338770020754,0.975830078125,0.08333333333333333,1.0,0.005208333333333329,65.00334721408146,-0.5956078224403204,0.9180327868852459,True
B2,False,0.4756944444444444,0.2916666666666667,0.203125,0.125,0.047450174891376554,0.21875,0.11979166666666667,0.041666666666666664,0.0002273953130767599,0.002263977998518385,0.97724609375,0.08333333333333333,1.0,0.005208333333333329,70.0638353519515,-0.6829637873490326,0.9672131147540983,True
B3,False,0.4930555555555556,0.2916666666666667,0.16666666666666666,0.10416666666666667,0.062499999999999986,0.2569444444444444,0.11979166666666667,0.036458333333333336,0.0005251251833240794,0.0038286928029265255,0.969189453125,0.046874999999999986,1.0,0.005208333333333329,43.49228381171449,-0.5570686021514359,0.8524590163934426,True
