step,phase,main_learning_rate,relation_encoder_learning_rate,loss,fact_supcon_loss,relation_ce_loss,relation_supcon_loss,entity_ce_loss,template_adversary_loss,gradient_norm,validation_gate_count,validation_relation_head,validation_relation_probe,validation_relation_template_margin,validation_centroid_top1,validation_row_1nn,validation_mrr,validation_fact_template_margin,validation_fact_silhouette,validation_entity_probe,validation_template_probe
50,joint,0.0006666666666666666,0.0006666666666666666,2.8797173500061035,1.3907802104949951,1.1091207265853882,1.895343542098999,2.776540994644165,1.8044854402542114,5.896597385406494,2,0.40625,0.8333333134651184,0.1292769646892945,0.78125,0.75,0.8257940265752767,0.4140912592411041,0.34991300106048584,0.8854166865348816,1.0
100,joint,0.0009993002688846913,0.0009993002688846913,2.171792507171631,0.9320899844169617,0.6762042045593262,1.8764094114303589,2.6315925121307373,1.7528117895126343,2.7893972396850586,5,0.8125,0.8333333134651184,0.25079506072603786,0.7604166666666666,0.7604166666666666,0.802089199073092,0.5005531311035156,0.5271719694137573,0.90625,1.0
150,joint,0.0009933608878242154,0.0009933608878242154,1.7874037027359009,0.7306647300720215,0.42935261130332947,1.816521167755127,2.3937923908233643,1.7783199548721313,1.164092779159546,5,0.8333333134651184,0.8333333134651184,0.3283211132705522,0.7916666666666666,0.78125,0.8380682776653171,0.6705099940299988,0.6333560943603516,0.90625,1.0
200,joint,0.0009814327739099229,0.0009814327739099229,1.699413537979126,0.7960442900657654,0.2259557843208313,1.8056195974349976,2.146336793899536,1.8261280059814453,1.7821667194366455,4,0.8333333134651184,0.8333333134651184,0.3455513391126361,0.78125,0.7604166666666666,0.8224942881192882,0.6318898051977158,0.6717358231544495,0.8958333134651184,1.0
250,joint,0.0009636607182864827,0.0009636607182864827,1.5245141983032227,0.7018817663192749,0.1806621551513672,1.7949581146240234,1.8665486574172974,1.7790464162826538,0.31996455788612366,5,0.8333333134651184,0.8333333134651184,0.39130594226816257,0.7916666666666666,0.7916666666666666,0.8378133678685149,0.6812550723552704,0.6990475654602051,0.90625,0.9722222089767456
300,joint,0.0009402604496344984,0.0009402604496344984,1.491112470626831,0.7203693389892578,0.11509177833795547,1.7947629690170288,1.771222710609436,1.7620588541030884,0.5712048411369324,5,0.8333333134651184,0.8333333134651184,0.39563196172627313,0.7916666666666666,0.78125,0.8369516903983816,0.6782855093479156,0.7097182869911194,0.9166666865348816,0.9861111044883728
350,joint,0.0009115160155165614,0.0009115160155165614,1.4737801551818848,0.7241058349609375,0.09088603407144547,1.7932208776474,1.7279354333877563,1.769343376159668,0.8199754357337952,6,0.8333333134651184,0.8333333134651184,0.3702176646122502,0.8020833333333334,0.8020833333333334,0.8403695395882895,0.6439549922943115,0.7222986221313477,0.9166666865348816,0.8611111044883728
400,joint,0.0008777763344246211,0.0008777763344246211,1.379858374595642,0.7077447772026062,0.07369156926870346,1.7935870885849,1.3827520608901978,1.7538037300109863,0.3050437569618225,6,0.8333333134651184,0.8333333134651184,0.3943999841061466,0.8020833333333334,0.7916666666666666,0.8396555200671054,0.6672459989786148,0.7341206073760986,0.9166666865348816,0.8333333134651184
450,joint,0.0008394509603821498,0.0008394509603821498,1.3410841226577759,0.7019563913345337,0.06826705485582352,1.792763113975525,1.232207179069519,1.7972111701965332,0.2392364740371704,5,0.8333333134651184,0.8333333134651184,0.3986976443741393,0.7916666666666666,0.78125,0.8422534485034485,0.7017971724271774,0.746443510055542,0.9166666865348816,0.8055555820465088
500,joint,0.0007970051115130965,0.0007970051115130965,1.3277462720870972,0.7073049545288086,0.05991378799080849,1.7927439212799072,1.1596781015396118,1.808220386505127,0.40018999576568604,5,0.8333333134651184,0.8333333134651184,0.39678914428934353,0.78125,0.78125,0.8360863095238096,0.6992361694574356,0.7502495646476746,0.9270833134651184,0.7222222089767456
550,joint,0.0007509540229240601,0.0007509540229240601,1.312719464302063,0.6985596418380737,0.047343660145998,1.7929705381393433,1.1594692468643188,1.8147379159927368,0.19150659441947937,6,0.8333333134651184,0.8333333134651184,0.41209072809756936,0.8020833333333334,0.7916666666666666,0.8481764473951974,0.6847382485866547,0.7545464634895325,0.9375,0.5833333134651184
600,joint,0.0007018566924480542,0.0007018566924480542,1.2758539915084839,0.6988469958305359,0.04483211040496826,1.79266357421875,0.9802906513214111,1.8052167892456055,0.15490606427192688,5,0.8333333134651184,0.8333333134651184,0.39421564517326463,0.7916666666666666,0.78125,0.8358796296296296,0.6525984108448029,0.7515226006507874,0.9375,0.6527777910232544
