split,mutation_category,method,case_count,contract_effect_recall,forbidden_trace_acceptance_rate,safe_utility,maximal_permissiveness_ratio
locked_test,implementation_drift,AuthSynth-NoCEGAR,6,0.8333333333333334,0.3333333333333333,1.0,1.0
locked_test,implementation_drift,DenyAll,6,0.0,0.0,0.0,0.0
locked_test,implementation_drift,Gold-Contract,6,1.0,0.0,1.0,1.0
locked_test,implementation_drift,Solver-Policy,6,0.5,1.0,1.0,1.0
locked_test,implementation_drift,ToolGate-Declared,6,0.5,1.0,1.0,1.0
locked_test,implementation_drift,ToolGuardian-Style,6,0.8333333333333334,0.3333333333333333,1.0,1.0
locked_test,parameter_role_omission,AuthSynth-CGAR,6,1.0,0.0,1.0,1.0
locked_test,parameter_role_omission,AuthSynth-NoCEGAR,6,0.6666666666666666,0.6666666666666666,1.0,1.0
locked_test,parameter_role_omission,DenyAll,6,0.0,0.0,0.0,0.0
locked_test,parameter_role_omission,Gold-Contract,6,1.0,0.0,1.0,1.0
locked_test,parameter_role_omission,Solver-Policy,6,0.5,1.0,1.0,1.0
locked_test,parameter_role_omission,ToolGate-Declared,6,0.5,1.0,1.0,1.0
locked_test,parameter_role_omission,ToolGuardian-Style,6,0.6666666666666666,0.6666666666666666,1.0,1.0
locked_test,state_dependent_effect,AuthSynth-CGAR,6,1.0,0.0,1.0,1.0
locked_test,state_dependent_effect,AuthSynth-NoCEGAR,6,0.8333333333333334,0.3333333333333333,1.0,1.0
locked_test,state_dependent_effect,DenyAll,6,0.0,0.0,0.0,0.0
locked_test,state_dependent_effect,Gold-Contract,6,1.0,0.0,1.0,1.0
locked_test,state_dependent_effect,Solver-Policy,6,0.6666666666666666,1.0,1.0,1.0
locked_test,state_dependent_effect,ToolGate-Declared,6,0.6666666666666666,1.0,1.0,1.0
locked_test,state_dependent_effect,ToolGuardian-Style,6,0.8333333333333334,0.6666666666666666,1.0,1.0
train,clean_control,AuthSynth-CGAR,2,1.0,0.0,1.0,1.0
train,clean_control,AuthSynth-NoCEGAR,2,1.0,0.0,1.0,1.0
train,clean_control,DenyAll,2,0.0,0.0,0.0,0.0
train,clean_control,Gold-Contract,2,1.0,0.0,1.0,1.0
train,clean_control,Solver-Policy,2,1.0,0.0,1.0,1.0
train,clean_control,ToolGate-Declared,2,1.0,0.0,1.0,1.0
train,clean_control,ToolGuardian-Style,2,1.0,0.0,1.0,1.0
train,composition_omission,AuthSynth-CGAR,6,1.0,0.0,1.0,1.0
train,composition_omission,AuthSynth-NoCEGAR,6,1.0,0.0,1.0,1.0
train,composition_omission,DenyAll,6,0.0,0.0,0.0,0.0
train,composition_omission,Gold-Contract,6,1.0,0.0,1.0,1.0
