method,case_count,contract_effect_recall,contract_overapproximation_ratio,forbidden_trace_acceptance_rate,forbidden_trace_accepted_count,policy_omission_discovery_recall,counterexample_precision,counterexample_count,validated_counterexample_count,safe_utility,maximal_permissiveness_ratio,drift_detection_recall,unknown_rate,analysis_time_mean_ms,analysis_time_p95_ms,cegar_iterations_mean,certificate_size_mean_bytes,exact_shield_match_rate
DenyAll,76,0.0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.20572919736842107,0.274118,0.0,0.0,0.0
Solver-Policy,76,0.65,0.11864406779661017,1.0,72,0.0,1.0,0,0,1.0,1.0,0.0,0.0,0.32002434210526315,0.460943,0.0,0.0,0.05263157894736842
ToolGate-Declared,76,0.65,0.11864406779661017,1.0,72,0.0,1.0,0,0,1.0,1.0,0.0,0.0,0.5229246315789474,0.676734,0.0,0.0,0.05263157894736842
ToolGuardian-Style,76,0.8,0.09219858156028368,0.6666666666666666,48,0.0,1.0,0,0,0.9342105263157895,0.9375,0.0,0.0,0.46770861842105266,0.713239,0.0,0.0,0.3026315789473684
AuthSynth-NoCEGAR,76,0.8,0.09219858156028368,0.4444444444444444,32,0.0,1.0,0,0,0.9078947368421053,0.9125,0.0,0.0,0.3634841710526316,0.443645,0.0,0.0,0.4868421052631579
AuthSynth-CGAR,76,1.0,0.0,0.0,0,1.0,0.9473684210526315,76,72,1.0,1.0,1.0,0.0,0.48551098684210525,0.589023,1.9473684210526316,276.42105263157896,1.0
Gold-Contract,76,1.0,0.0,0.0,0,0.0,1.0,0,0,1.0,1.0,0.0,0.0,0.3351186315789474,0.416884,0.0,0.0,1.0
