step,learning_rate,loss,public_loss,public_relation_ce_loss,public_relation_supcon_loss,public_template_adversary_loss,private_loss,private_fact_supcon_loss,private_relation_ce_loss,private_relation_supcon_loss,private_template_adversary_loss,gradient_norm,private_validation_gate_count,public_validation_gate_count,private_validation_relation_head,private_validation_centroid_top1,public_validation_relation_head,public_validation_relation_probe,public_validation_relation_template_margin,public_train_template_probe
550,9.20716744818044e-05,0.5806923508644104,0.5806923508644104,0.32998549938201904,1.4623416662216187,2.464625358581543,0.0,0.0,0.0,0.0,0.0,5.552093505859375,2,0,0.5,0.65625,0.25,0.2708333432674408,-0.4002780020236969,0.9861111044883728
600,7.577215974732137e-05,0.4494028091430664,0.4494028091430664,0.09667979925870895,1.379420280456543,2.5035765171051025,0.0,0.0,0.0,0.0,0.0,0.7779151201248169,2,0,0.5,0.6875,0.2916666567325592,0.2916666567325592,-0.3227732181549072,0.9861111044883728
650,6.01335173376655e-05,0.5640474557876587,0.5640474557876587,0.10959985107183456,1.922607183456421,2.4945218563079834,0.0,0.0,0.0,0.0,0.0,3.137212038040161,2,0,0.5,0.6770833333333334,0.3125,0.3125,-0.31123656034469604,0.9861111044883728
700,4.55823286508741e-05,0.5586338043212891,0.5586338043212891,0.10183966159820557,1.9162826538085938,2.4891488552093506,0.0,0.0,0.0,0.0,0.0,2.4946277141571045,2,0,0.5,0.65625,0.25,0.2708333432674408,-0.3772127032279968,0.9861111044883728
750,3.25155121822048e-05,0.5386850237846375,0.5386850237846375,0.08700251579284668,1.8457231521606445,2.520782232284546,0.0,0.0,0.0,0.0,0.0,1.062955617904663,2,0,0.5,0.6666666666666666,0.2708333432674408,0.2708333432674408,-0.3827778995037079,0.9861111044883728
800,2.1289496622274753e-05,0.44844764471054077,0.44844764471054077,0.0868888720870018,1.3951537609100342,2.51944899559021,0.0,0.0,0.0,0.0,0.0,0.7888066172599792,2,0,0.5,0.6666666666666666,0.2916666567325592,0.2916666567325592,-0.3636641502380371,0.9861111044883728
850,1.2210498411520255e-05,0.5304945707321167,0.5304945707321167,0.08107340335845947,1.8298516273498535,2.479750871658325,0.0,0.0,0.0,0.0,0.0,0.5941095948219299,2,0,0.5,0.6666666666666666,0.2708333432674408,0.2708333432674408,-0.3836250901222229,0.9861111044883728
900,5.5261689539487515e-06,0.4528132379055023,0.4528132379055023,0.09517565369606018,1.4022935628890991,2.495333433151245,0.0,0.0,0.0,0.0,0.0,2.3536486625671387,2,0,0.5,0.65625,0.2916666567325592,0.2708333432674408,-0.3847414553165436,0.9861111044883728
950,1.4188393324163663e-06,0.567004382610321,0.567004382610321,0.10933921486139297,1.9337928295135498,2.511523485183716,0.0,0.0,0.0,0.0,0.0,2.301187515258789,2,0,0.5,0.65625,0.2916666567325592,0.2708333432674408,-0.3811658024787903,0.9861111044883728
1000,5.467919892865325e-10,0.4801778793334961,0.4801778793334961,0.13458003103733063,1.4478801488876343,2.4662368297576904,0.0,0.0,0.0,0.0,0.0,2.4414191246032715,2,0,0.5,0.65625,0.2916666567325592,0.2708333432674408,-0.3823763132095337,0.9861111044883728
