benchmark,coverage,risk,seed,variant
banking77_open,0.45,0.1024904214559387,2501,R2
banking77_open,0.5,0.11724137931034483,2501,R2
banking77_open,0.55,0.13009404388714735,2501,R2
banking77_open,0.6,0.15158045977011494,2501,R2
banking77_open,0.65,0.1843501326259947,2501,R2
banking77_open,0.7,0.20874384236453203,2501,R2
banking77_open,0.75,0.24080459770114943,2501,R2
banking77_open,0.8,0.2677801724137931,2501,R2
banking77_open,0.85,0.29817444219066935,2501,R2
banking77_open,0.9,0.3232758620689655,2501,R2
banking77_open,0.95,0.35344827586206895,2501,R2
banking77_open,1.0,0.38275862068965516,2501,R2
banking77_open,0.05,0.0,2501,MAX_THRESHOLD
banking77_open,0.1,0.008620689655172414,2501,MAX_THRESHOLD
banking77_open,0.15,0.011494252873563218,2501,MAX_THRESHOLD
banking77_open,0.2,0.015086206896551725,2501,MAX_THRESHOLD
banking77_open,0.25,0.03103448275862069,2501,MAX_THRESHOLD
banking77_open,0.3,0.04885057471264368,2501,MAX_THRESHOLD
banking77_open,0.35,0.06527093596059114,2501,MAX_THRESHOLD
banking77_open,0.4,0.08189655172413793,2501,MAX_THRESHOLD
banking77_open,0.45,0.1024904214559387,2501,MAX_THRESHOLD
banking77_open,0.5,0.11724137931034483,2501,MAX_THRESHOLD
banking77_open,0.55,0.13009404388714735,2501,MAX_THRESHOLD
banking77_open,0.6,0.15158045977011494,2501,MAX_THRESHOLD
banking77_open,0.65,0.1843501326259947,2501,MAX_THRESHOLD
banking77_open,0.7,0.24261083743842365,2501,MAX_THRESHOLD
banking77_open,0.75,0.29310344827586204,2501,MAX_THRESHOLD
banking77_open,0.8,0.33728448275862066,2501,MAX_THRESHOLD
banking77_open,0.85,0.3762677484787018,2501,MAX_THRESHOLD
banking77_open,0.9,0.4109195402298851,2501,MAX_THRESHOLD
banking77_open,0.95,0.4419237749546279,2501,MAX_THRESHOLD
banking77_open,1.0,0.4698275862068966,2501,MAX_THRESHOLD
banking77_open,0.05,0.0,2501,R3
banking77_open,0.1,0.008620689655172414,2501,R3
banking77_open,0.15,0.3275862068965517,2501,R3
banking77_open,0.2,0.4956896551724138,2501,R3
banking77_open,0.25,0.596551724137931,2501,R3
banking77_open,0.3,0.6637931034482759,2501,R3
banking77_open,0.35,0.7118226600985221,2501,R3
banking77_open,0.4,0.7478448275862069,2501,R3
banking77_open,0.45,0.7758620689655172,2501,R3
banking77_open,0.5,0.7982758620689655,2501,R3
banking77_open,0.55,0.8166144200626959,2501,R3
banking77_open,0.6,0.8318965517241379,2501,R3
banking77_open,0.65,0.8448275862068966,2501,R3
banking77_open,0.7,0.8559113300492611,2501,R3
banking77_open,0.75,0.8655172413793103,2501,R3
banking77_open,0.8,0.8739224137931034,2501,R3
banking77_open,0.85,0.8813387423935092,2501,R3
banking77_open,0.9,0.8879310344827587,2501,R3
banking77_open,0.95,0.8938294010889292,2501,R3
banking77_open,1.0,0.8991379310344828,2501,R3
banking77_closed,0.05,0.0,2501,R0
banking77_closed,0.1,0.0,2501,R0
banking77_closed,0.15,0.0,2501,R0
banking77_closed,0.2,0.0016233766233766235,2501,R0
banking77_closed,0.25,0.0025974025974025974,2501,R0
banking77_closed,0.3,0.004329004329004329,2501,R0
banking77_closed,0.35,0.0055658627087198514,2501,R0
banking77_closed,0.4,0.008928571428571428,2501,R0
banking77_closed,0.45,0.00937950937950938,2501,R0
banking77_closed,0.5,0.00909090909090909,2501,R0
banking77_closed,0.55,0.011806375442739079,2501,R0
banking77_closed,0.6,0.016774891774891776,2501,R0
banking77_closed,0.65,0.01998001998001998,2501,R0
banking77_closed,0.7,0.02365491651205937,2501,R0
banking77_closed,0.75,0.030735930735930735,2501,R0
banking77_closed,0.8,0.03896103896103896,2501,R0
banking77_closed,0.85,0.05080213903743316,2501,R0
banking77_closed,0.9,0.06240981240981241,2501,R0
banking77_closed,0.95,0.07997265892002735,2501,R0
banking77_closed,1.0,0.10844155844155844,2501,R0
banking77_closed,0.05,0.006493506493506494,2501,R2
banking77_closed,0.1,0.025974025974025976,2501,R2
banking77_closed,0.15,0.02813852813852814,2501,R2
banking77_closed,0.2,0.03409090909090909,2501,R2
banking77_closed,0.25,0.03636363636363636,2501,R2
banking77_closed,0.3,0.044372294372294376,2501,R2
banking77_closed,0.35,0.04638218923933209,2501,R2
banking77_closed,0.4,0.05925324675324675,2501,R2
banking77_closed,0.45,0.05844155844155844,2501,R2
banking77_closed,0.5,0.06493506493506493,2501,R2
banking77_closed,0.55,0.07201889020070838,2501,R2
banking77_closed,0.6,0.07846320346320346,2501,R2
banking77_closed,0.65,0.08691308691308691,2501,R2
banking77_closed,0.7,0.09276437847866419,2501,R2
