abstention_rate,accepted_relation_precision,accepted_route_accuracy,ambiguous_reject_reason_rate,aurc,average_candidate_set_size,benchmark,cross_intent_candidate_access_count,empty_candidate_set_rate,false_memory_access_rate,intent_macro_accuracy,known_accuracy,known_coverage,known_row_count,memory_access_count,minimum_margin,multi_candidate_set_rate,oos_aupr,oos_auroc,oos_f1,oos_precision,oos_recall,ridge_strength,row_count,safe_coverage,seed,selected,stage,threshold,unknown_reject_reason_rate,unknown_row_count,variant,worst_intent_accuracy,wrong_bucket_access_rate
,,,,,,clinc150,,,,,0.976,,,,,,,,,,,0.001,,,2501,,R0,,,,,,
,,,,,,clinc150,,,,,0.974,,,,,,,,,,,0.01,,,2501,,R0,,,,,,
,,,,,,clinc150,,,,,0.971,,,,,,,,,,,0.1,,,2501,,R0,,,,,,
,,,,,,clinc150,,,,,0.948,,,,,,,0.9315028571428572,,,,0.0001,,,2501,,R2,,,,,,
,,,,,,clinc150,,,,,0.948,,,,,,,0.9314457142857143,,,,0.001,,,2501,,R2,,,,,,
,,,,,,clinc150,,,,,0.948,,,,,,,0.9308890476190477,,,,0.01,,,2501,,R2,,,,,,
,,,,,,clinc150,,,,,0.951,,,,,,,0.9246952380952381,,,,0.1,,,2501,,R2,,,,,,
0.4267741935483871,0.5104108047270681,0.9517313746065058,0.0,0.39177800981438654,0.5732258064516129,clinc150,0,0.4267741935483871,0.3923809523809524,0.907,0.907,0.953,1000,1777,0.0,0.0,0.9573090379075915,0.9246952380952381,0.7455448437043528,0.9644746787603931,0.6076190476190476,,3100,0.907,2501,False,selective,0.2,0.4267741935483871,2100,MAX_THRESHOLD,0.2,0.046
0.5048387096774194,0.5778501628664495,0.9517167381974249,0.0,0.3959556266842032,0.49516129032258066,clinc150,0,0.5048387096774194,0.28714285714285714,0.887,0.887,0.932,1000,1535,0.0,0.0,0.9573090379075915,0.9246952380952381,0.8169167803547066,0.9565495207667731,0.7128571428571429,,3100,0.887,2501,False,selective,0.25,0.5048387096774194,2100,MAX_THRESHOLD,0.1,0.045
0.5693548387096774,0.6411985018726591,0.9542920847268673,0.0,0.4037698364369744,0.4306451612903226,clinc150,0,0.5693548387096774,0.20857142857142857,0.856,0.856,0.897,1000,1335,0.0,0.0,0.9573090379075915,0.9246952380952381,0.860025873221216,0.941643059490085,0.7914285714285715,,3100,0.856,2501,False,selective,0.3,0.5693548387096774,2100,MAX_THRESHOLD,0.0,0.041
0.63,0.7061900610287707,0.9551886792452831,0.0,0.41750719855264334,0.37,clinc150,0,0.63,0.14238095238095239,0.8099999999999999,0.81,0.848,1000,1147,0.0,0.0,0.9573090379075915,0.9246952380952381,0.8887244016777696,0.9221710189452125,0.8576190476190476,,3100,0.81,2501,True,selective,0.35,0.63,2100,MAX_THRESHOLD,0.0,0.038
0.6774193548387096,0.751,0.9579081632653061,0.0,0.4377679129559786,0.3225806451612903,clinc150,0,0.6774193548387096,0.10285714285714286,0.751,0.751,0.784,1000,1000,0.0,0.0,0.9573090379075915,0.9246952380952381,0.8971428571428571,0.8971428571428571,0.8971428571428571,,3100,0.751,2501,False,selective,0.4,0.6774193548387096,2100,MAX_THRESHOLD,0.0,0.033
0.7232258064516129,0.7925407925407926,0.9577464788732394,0.0,0.46540337356448963,0.2767741935483871,clinc150,0,0.7232258064516129,0.07047619047619047,0.68,0.68,0.71,1000,858,0.0,0.0,0.9573090379075915,0.9246952380952381,0.8991248272685398,0.8706512042818911,0.9295238095238095,,3100,0.68,2501,False,selective,0.45,0.7232258064516129,2100,MAX_THRESHOLD,0.0,0.03
0.7690322580645161,0.8449720670391061,0.9618441971383148,0.0,0.4985122792278871,0.23096774193548386,clinc150,0,0.7690322580645161,0.041428571428571426,0.605,0.605,0.629,1000,716,0.0,0.0,0.9573090379075915,0.9246952380952381,0.8978590544157004,0.8443791946308725,0.9585714285714285,,3100,0.605,2501,False,selective,0.5,0.7690322580645161,2100,MAX_THRESHOLD,0.0,0.024
0.8087096774193548,0.8735244519392917,0.9592592592592593,0.0,0.5421806795681451,0.19129032258064516,clinc150,0,0.8087096774193548,0.025238095238095237,0.518,0.518,0.54,1000,593,0.0,0.0,0.9573090379075915,0.9246952380952381,0.8886477100065118,0.8165137614678899,0.9747619047619047,,3100,0.518,2501,False,selective,0.55,0.8087096774193548,2100,MAX_THRESHOLD,0.0,0.022
0.8470967741935483,0.9113924050632911,0.9642857142857143,0.0,0.5910880518907748,0.1529032258064516,clinc150,0,0.8470967741935483,0.012380952380952381,0.432,0.432,0.448,1000,474,0.0,0.0,0.9573090379075915,0.9246952380952381,0.8776978417266187,0.7897943640517898,0.9876190476190476,,3100,0.432,2501,False,selective,0.6,0.8470967741935483,2100,MAX_THRESHOLD,0.0,0.016
0.8819354838709678,0.9453551912568307,0.9774011299435028,0.0,0.6467133811667858,0.11806451612903225,clinc150,0,0.8819354838709678,0.005714285714285714,0.34600000000000003,0.346,0.354,1000,366,0.0,0.0,0.9573090379075915,0.9246952380952381,0.8638808440215142,0.7637161667885881,0.9942857142857143,,3100,0.346,2501,False,selective,0.65,0.8819354838709678,2100,MAX_THRESHOLD,0.0,0.008
0.9083870967741936,0.954225352112676,0.9748201438848921,0.0,0.701329328418363,0.09161290322580645,clinc150,0,0.9083870967741936,0.002857142857142857,0.271,0.271,0.278,1000,284,0.0,0.0,0.9573090379075915,0.9246952380952381,0.8519121236777868,0.7436079545454546,0.9971428571428571,,3100,0.271,2501,False,selective,0.7,0.9083870967741936,2100,MAX_THRESHOLD,0.0,0.007
