abstention_rate,accepted_relation_precision,accepted_route_accuracy,ambiguous_reject_reason_rate,aurc,average_candidate_set_size,benchmark,cross_intent_candidate_access_count,empty_candidate_set_rate,false_memory_access_rate,intent_macro_accuracy,known_accuracy,known_coverage,known_row_count,memory_access_count,multi_candidate_set_rate,oos_aupr,oos_auroc,oos_f1,oos_precision,oos_recall,row_count,safe_coverage,seed,unknown_reject_reason_rate,unknown_row_count,variant,worst_intent_accuracy,wrong_bucket_access_rate
0.0,0.2649090909090909,0.9713333333333334,0.0,0.4161937655511089,1,clinc150,0,0.0,1.0,0.9713333333333334,0.9713333333333334,1.0,1500,5500,0.0,0.9775179715965537,0.946736,0.0,0.0,0.0,5500,0.9713333333333334,2501,0.0,4000,R0,0.7,0.028666666666666667
0.0,0.25581818181818183,0.938,0.0,0.44632092917839317,1,clinc150,0,0.0,1.0,0.9380000000000001,0.938,1.0,1500,5500,0.0,0.9709677580468157,0.9327469166666666,0.0,0.0,0.0,5500,0.938,2501,0.0,4000,R2,0.4,0.062
0.6850909090909091,0.6893764434180139,0.9529130087789306,0.0,0.47691781489039003,0.3149090909090909,clinc150,0,0.6850909090909091,0.11975,0.796,0.796,0.8353333333333334,1500,1732,0.0,0.9709677580468157,0.9327469166666666,0.9065396498455202,0.934447983014862,0.88025,5500,0.796,2501,0.6850909090909091,4000,MAX_THRESHOLD,0.0,0.03933333333333333
0.9530909090909091,0.9573643410852714,0.9724409448818898,0.0007272727272727272,0.8174436226542998,0.048363636363636366,clinc150,0,0.9523636363636364,0.001,0.16466666666666666,0.16466666666666666,0.16933333333333334,1500,258,0.0007272727272727272,0.9709677580468157,0.9327469166666666,0.864747890067085,0.7623044639450591,0.999,5500,0.16466666666666666,2501,0.9523636363636364,4000,R3,0.0,0.004666666666666667
0.0,0.6314655172413793,0.9391025641025641,0.0,0.10955745834153466,1,banking77_open,0,0.0,1.0,0.9391025641025641,0.9391025641025641,1.0,1560,2320,0.0,0.7573657992031843,0.8876307354925776,0.0,0.0,0.0,2320,0.9391025641025641,2501,0.0,760,R0,0.7,0.060897435897435896
0.0,0.6172413793103448,0.9179487179487179,0.0,0.14071250221251475,1,banking77_open,0,0.0,1.0,0.9179487179487179,0.9179487179487179,1.0,1560,2320,0.0,0.7518387192158189,0.8725463900134953,0.0,0.0,0.0,2320,0.9179487179487179,2501,0.0,760,R2,0.65,0.08205128205128205
0.35129310344827586,0.8172757475083057,0.9410864575363428,0.0,0.16364502295263914,0.6487068965517241,banking77_open,0,0.35129310344827586,0.26052631578947366,0.7884615384615384,0.7884615384615384,0.8378205128205128,1560,1505,0.0,0.7518387192158189,0.8725463900134953,0.7136507936507936,0.6895705521472393,0.7394736842105263,2320,0.7884615384615384,2501,0.35129310344827586,760,MAX_THRESHOLD,0.525,0.04935897435897436
0.8982758620689655,0.9915254237288136,0.9957446808510638,0.0,0.6679913748924804,0.10172413793103448,banking77_open,0,0.8982758620689655,0.0013157894736842105,0.15,0.15,0.15064102564102563,1560,236,0.0,0.7518387192158189,0.8725463900134953,0.5337552742616034,0.3642034548944338,0.9986842105263158,2320,0.15,2501,0.8982758620689655,760,R3,0.0,0.000641025641025641
0.0,0.8915584415584416,0.8915584415584416,0.0,0.021481308500420886,1,banking77_closed,0,0.0,0.0,0.8915584415584416,0.8915584415584416,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.8915584415584416,2501,0.0,0,R0,0.3,0.10844155844155844
0.0,0.8525974025974026,0.8525974025974026,0.0,0.06843852070383392,1,banking77_closed,0,0.0,0.0,0.8525974025974026,0.8525974025974026,1.0,3080,3080,0.0,0.0,0.0,0.0,0.0,0.0,3080,0.8525974025974026,2501,0.0,0,R2,0.425,0.1474025974025974
