benchmark,ci95_high,ci95_low,maximum,mean,metric,minimum,seed_count,variant
banking77_closed,0.8943603391041939,0.8921331673893127,0.8967532467532467,0.8932467532467533,known_accuracy,0.8899350649350649,10,R0
banking77_closed,1.0,1.0,1.0,1.0,known_coverage,1.0,10,R0
banking77_closed,0.8943603391041939,0.8921331673893127,0.8967532467532467,0.8932467532467533,accepted_route_accuracy,0.8899350649350649,10,R0
banking77_closed,0.8943603391041939,0.8921331673893127,0.8967532467532467,0.8932467532467533,safe_coverage,0.8899350649350649,10,R0
banking77_closed,0.10786683261068732,0.10563966089580619,0.11006493506493506,0.10675324675324675,wrong_bucket_access_rate,0.10324675324675325,10,R0
banking77_closed,0.0,0.0,0.0,0.0,false_memory_access_rate,0.0,10,R0
banking77_closed,0.0,0.0,0.0,0.0,oos_recall,0.0,10,R0
banking77_closed,0.0,0.0,0.0,0.0,oos_f1,0.0,10,R0
banking77_closed,0.0,0.0,0.0,0.0,oos_auroc,0.0,10,R0
banking77_closed,0.0,0.0,0.0,0.0,oos_aupr,0.0,10,R0
banking77_closed,0.3384781397644657,0.28152186023553427,0.375,0.31,worst_intent_accuracy,0.25,10,R0
banking77_closed,0.8943603391041939,0.8921331673893127,0.8967532467532467,0.8932467532467533,intent_macro_accuracy,0.8899350649350649,10,R0
banking77_closed,0.0,0.0,0.0,0.0,multi_candidate_set_rate,0.0,10,R0
banking77_closed,0.021540755853327306,0.020942265289410615,0.022398738869213074,0.02124151057136896,aurc,0.02066391254369772,10,R0
banking77_closed,0.8573552360184521,0.8524499587867428,0.8597402597402597,0.8549025974025974,known_accuracy,0.8480519480519481,10,R2
banking77_closed,1.0,1.0,1.0,1.0,known_coverage,1.0,10,R2
banking77_closed,0.8573552360184521,0.8524499587867428,0.8597402597402597,0.8549025974025974,accepted_route_accuracy,0.8480519480519481,10,R2
banking77_closed,0.8573552360184521,0.8524499587867428,0.8597402597402597,0.8549025974025974,safe_coverage,0.8480519480519481,10,R2
banking77_closed,0.1475500412132573,0.14264476398154788,0.15194805194805194,0.14509740259740259,wrong_bucket_access_rate,0.14025974025974025,10,R2
banking77_closed,0.0,0.0,0.0,0.0,false_memory_access_rate,0.0,10,R2
banking77_closed,0.0,0.0,0.0,0.0,oos_recall,0.0,10,R2
banking77_closed,0.0,0.0,0.0,0.0,oos_f1,0.0,10,R2
banking77_closed,0.0,0.0,0.0,0.0,oos_auroc,0.0,10,R2
banking77_closed,0.0,0.0,0.0,0.0,oos_aupr,0.0,10,R2
banking77_closed,0.4809903210696501,0.4190096789303499,0.525,0.45,worst_intent_accuracy,0.375,10,R2
banking77_closed,0.8573552360184521,0.8524499587867428,0.8597402597402597,0.8549025974025974,intent_macro_accuracy,0.8480519480519481,10,R2
banking77_closed,0.0,0.0,0.0,0.0,multi_candidate_set_rate,0.0,10,R2
banking77_closed,0.06765392910136862,0.0644157259945566,0.06906295572178721,0.06603482754796261,aurc,0.060656199737606775,10,R2
banking77_open,0.8028196072451624,0.7761547517291966,0.8243589743589743,0.7894871794871795,known_accuracy,0.7621794871794871,10,MAX_THRESHOLD
banking77_open,0.859771626679727,0.8267668348587346,0.8897435897435897,0.8432692307692308,known_coverage,0.8108974358974359,10,MAX_THRESHOLD
banking77_open,0.9443324945187364,0.9284827327830145,0.9526355996944232,0.9364076136508754,accepted_route_accuracy,0.912781954887218,10,MAX_THRESHOLD
banking77_open,0.8028196072451624,0.7761547517291966,0.8243589743589743,0.7894871794871795,safe_coverage,0.7621794871794871,10,MAX_THRESHOLD
banking77_open,0.06106357231928498,0.04650053024481759,0.07435897435897436,0.05378205128205128,wrong_bucket_access_rate,0.0391025641025641,10,MAX_THRESHOLD
banking77_open,0.31624928985743117,0.2463822890899372,0.37236842105263157,0.2813157894736842,false_memory_access_rate,0.19342105263157894,10,MAX_THRESHOLD
banking77_open,0.7536177109100628,0.6837507101425688,0.8065789473684211,0.7186842105263158,oos_recall,0.6276315789473684,10,MAX_THRESHOLD
banking77_open,0.7161285436085947,0.6911839844974501,0.7350119904076738,0.7036562640530224,oos_f1,0.6671328671328671,10,MAX_THRESHOLD
banking77_open,0.8740858526874686,0.8603083780817622,0.8828711201079622,0.8671971153846154,oos_auroc,0.8512246963562753,10,MAX_THRESHOLD
banking77_open,0.7572856312065182,0.7409759319183831,0.7733768810034425,0.7491307815624506,oos_aupr,0.7326889503535392,10,MAX_THRESHOLD
banking77_open,0.4820439053696234,0.3629560946303766,0.55,0.4225,worst_intent_accuracy,0.275,10,MAX_THRESHOLD
banking77_open,0.8028196072451624,0.7761547517291966,0.8243589743589743,0.7894871794871795,intent_macro_accuracy,0.7621794871794871,10,MAX_THRESHOLD
banking77_open,0.0,0.0,0.0,0.0,multi_candidate_set_rate,0.0,10,MAX_THRESHOLD
banking77_open,0.17662350657325654,0.16528029559433177,0.18348934421932503,0.17095190108379416,aurc,0.15716536280341817,10,MAX_THRESHOLD
banking77_open,0.9452736372067002,0.9363930294599664,0.9538461538461539,0.9408333333333333,known_accuracy,0.9320512820512821,10,R0
banking77_open,1.0,1.0,1.0,1.0,known_coverage,1.0,10,R0
banking77_open,0.9452736372067002,0.9363930294599664,0.9538461538461539,0.9408333333333333,accepted_route_accuracy,0.9320512820512821,10,R0
banking77_open,0.9452736372067002,0.9363930294599664,0.9538461538461539,0.9408333333333333,safe_coverage,0.9320512820512821,10,R0
