ast_node_count,case_id,certificate_bytes,clause_count,literal_count,method,serialized_bytes,split
0,f2c-train-0039,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0040,0,0,0,Coverage-Guided Replay Table,0,train
12,f2c-train-0001,0,2,2,Passive Symbolic Learner,1437,train
12,f2c-train-0002,0,2,2,Passive Symbolic Learner,1437,train
12,f2c-train-0003,0,2,2,Passive Symbolic Learner,1440,train
12,f2c-train-0004,0,2,2,Passive Symbolic Learner,1439,train
12,f2c-train-0005,0,2,2,Passive Symbolic Learner,1442,train
12,f2c-train-0006,0,2,2,Passive Symbolic Learner,1439,train
12,f2c-train-0007,0,2,2,Passive Symbolic Learner,1437,train
12,f2c-train-0008,0,2,2,Passive Symbolic Learner,1437,train
6,f2c-train-0009,0,1,1,Passive Symbolic Learner,918,train
6,f2c-train-0010,0,1,1,Passive Symbolic Learner,918,train
12,f2c-train-0011,0,2,2,Passive Symbolic Learner,1437,train
12,f2c-train-0012,0,2,2,Passive Symbolic Learner,1437,train
12,f2c-train-0013,0,2,2,Passive Symbolic Learner,1440,train
12,f2c-train-0014,0,2,2,Passive Symbolic Learner,1439,train
12,f2c-train-0015,0,2,2,Passive Symbolic Learner,1442,train
12,f2c-train-0016,0,2,2,Passive Symbolic Learner,1439,train
12,f2c-train-0017,0,2,2,Passive Symbolic Learner,1437,train
12,f2c-train-0018,0,2,2,Passive Symbolic Learner,1437,train
6,f2c-train-0019,0,1,1,Passive Symbolic Learner,918,train
6,f2c-train-0020,0,1,1,Passive Symbolic Learner,918,train
12,f2c-train-0021,0,2,2,Passive Symbolic Learner,1437,train
12,f2c-train-0022,0,2,2,Passive Symbolic Learner,1437,train
12,f2c-train-0023,0,2,2,Passive Symbolic Learner,1440,train
12,f2c-train-0024,0,2,2,Passive Symbolic Learner,1439,train
12,f2c-train-0025,0,2,2,Passive Symbolic Learner,1442,train
12,f2c-train-0026,0,2,2,Passive Symbolic Learner,1439,train
12,f2c-train-0027,0,2,2,Passive Symbolic Learner,1437,train
12,f2c-train-0028,0,2,2,Passive Symbolic Learner,1437,train
6,f2c-train-0029,0,1,1,Passive Symbolic Learner,918,train
6,f2c-train-0030,0,1,1,Passive Symbolic Learner,918,train
12,f2c-train-0031,0,2,2,Passive Symbolic Learner,1437,train
12,f2c-train-0032,0,2,2,Passive Symbolic Learner,1437,train
12,f2c-train-0033,0,2,2,Passive Symbolic Learner,1440,train
12,f2c-train-0034,0,2,2,Passive Symbolic Learner,1439,train
12,f2c-train-0035,0,2,2,Passive Symbolic Learner,1442,train
12,f2c-train-0036,0,2,2,Passive Symbolic Learner,1439,train
12,f2c-train-0037,0,2,2,Passive Symbolic Learner,1437,train
12,f2c-train-0038,0,2,2,Passive Symbolic Learner,1437,train
6,f2c-train-0039,0,1,1,Passive Symbolic Learner,918,train
6,f2c-train-0040,0,1,1,Passive Symbolic Learner,918,train
19,f2c-train-0001,635,3,5,CEGIS-No-Minimization,2003,train
19,f2c-train-0002,635,3,5,CEGIS-No-Minimization,2003,train
19,f2c-train-0003,635,3,5,CEGIS-No-Minimization,2006,train
19,f2c-train-0004,635,3,5,CEGIS-No-Minimization,2005,train
19,f2c-train-0005,635,3,5,CEGIS-No-Minimization,2008,train
19,f2c-train-0006,635,3,5,CEGIS-No-Minimization,2005,train
22,f2c-train-0007,635,3,5,CEGIS-No-Minimization,2171,train
28,f2c-train-0008,635,4,9,CEGIS-No-Minimization,2771,train
8,f2c-train-0009,0,2,2,CEGIS-No-Minimization,1134,train
10,f2c-train-0010,635,2,1,CEGIS-No-Minimization,1243,train
19,f2c-train-0011,635,3,5,CEGIS-No-Minimization,2003,train
19,f2c-train-0012,635,3,5,CEGIS-No-Minimization,2003,train
19,f2c-train-0013,635,3,5,CEGIS-No-Minimization,2006,train
19,f2c-train-0014,635,3,5,CEGIS-No-Minimization,2005,train
19,f2c-train-0015,635,3,5,CEGIS-No-Minimization,2008,train
19,f2c-train-0016,635,3,5,CEGIS-No-Minimization,2005,train
22,f2c-train-0017,635,3,5,CEGIS-No-Minimization,2171,train
28,f2c-train-0018,635,4,9,CEGIS-No-Minimization,2771,train
8,f2c-train-0019,635,2,2,CEGIS-No-Minimization,1134,train
10,f2c-train-0020,635,2,1,CEGIS-No-Minimization,1243,train
19,f2c-train-0021,635,3,5,CEGIS-No-Minimization,2003,train
19,f2c-train-0022,635,3,5,CEGIS-No-Minimization,2003,train
19,f2c-train-0023,635,3,5,CEGIS-No-Minimization,2006,train
19,f2c-train-0024,635,3,5,CEGIS-No-Minimization,2005,train
19,f2c-train-0025,635,3,5,CEGIS-No-Minimization,2008,train
19,f2c-train-0026,635,3,5,CEGIS-No-Minimization,2005,train
22,f2c-train-0027,635,3,5,CEGIS-No-Minimization,2171,train
28,f2c-train-0028,635,4,9,CEGIS-No-Minimization,2771,train
8,f2c-train-0029,0,2,2,CEGIS-No-Minimization,1134,train
10,f2c-train-0030,635,2,1,CEGIS-No-Minimization,1243,train
19,f2c-train-0031,635,3,5,CEGIS-No-Minimization,2003,train
19,f2c-train-0032,635,3,5,CEGIS-No-Minimization,2003,train
19,f2c-train-0033,635,3,5,CEGIS-No-Minimization,2006,train
19,f2c-train-0034,635,3,5,CEGIS-No-Minimization,2005,train
19,f2c-train-0035,635,3,5,CEGIS-No-Minimization,2008,train
19,f2c-train-0036,635,3,5,CEGIS-No-Minimization,2005,train
22,f2c-train-0037,635,3,5,CEGIS-No-Minimization,2171,train
28,f2c-train-0038,635,4,9,CEGIS-No-Minimization,2771,train
8,f2c-train-0039,635,2,2,CEGIS-No-Minimization,1134,train
10,f2c-train-0040,635,2,1,CEGIS-No-Minimization,1243,train
17,f2c-train-0001,635,3,3,AuthSynth-Symbolic,1836,train
17,f2c-train-0002,635,3,3,AuthSynth-Symbolic,1836,train
17,f2c-train-0003,635,3,3,AuthSynth-Symbolic,1839,train
