all_safety_and_utility_gates_passed,analysis_latency_mean_ms,candidate_id,case_count,certificate_size_mean_bytes,complete_claim_count,contract_ast_node_mean,contract_clause_mean,contract_literal_mean,contract_overapproximation_ratio,contract_size_mean_bytes,convergence_rate,discovered_omission_atom_count,drift_detection_recall,exact_patch_set_rate,exact_patch_type_set_rate,expected_omission_atom_count,expected_patch_atom_count,false_verified_complete_count,false_verified_complete_rate,field_binding_accuracy,forbidden_trace_acceptance_rate,guard_accuracy,guard_exact_match_rate,guard_precision,guard_recall,maximal_permissiveness_ratio,method,old_certificate_reuse_after_drift_count,omission_atom_discovery_recall,patch_atom_precision,patch_atom_recall,patch_type_precision,patch_type_recall,predicted_patch_atom_count,replay_query_count,replay_query_reduction,safe_utility,selected,solver_call_count,state_update_binding_accuracy,synthesis_latency_mean_ms,true_positive_patch_atom_count,unknown_expected_precision,unknown_induced_rejection_count,unknown_rate,unlocated_patch_record_count,unseen_effect_precision,unseen_effect_recall,verification_latency_mean_ms
False,593.59731135,compact-12,40,31.75,2,29.9,4.0,11.3,0.4642472152353575,2671.3,0.05,56,1.0,0.1,0.1,56,58,0,0.0,0.9236348478532722,0.0,0.9460745440126883,0.2,0.8620194035213798,0.8474037442599788,0.05060240963855422,AuthSynth-Symbolic,0,1.0,0.2761904761904762,1.0,0.3898305084745763,1.0,210,432,0.9859375,0.05060240963855422,False,476,0.9350237717908082,504.884509525,58,0.05263157894736842,25216,0.95,0,0.5357527847646425,0.5266690215471564,82.631483175
False,1436.21605195,standard-16,40,95.25,6,36.6,4.0,15.3,0.2894308943089431,3127.6,0.15,56,1.0,0.1,0.1,56,58,0,0.0,0.9416260162601626,0.0,0.9776833156216791,0.4,1.0,0.8798283261802575,0.15180722891566265,AuthSynth-Symbolic,0,1.0,0.23577235772357724,1.0,0.34328358208955223,1.0,246,576,0.98125,0.15180722891566265,False,620,0.9904458598726115,1314.6639706,58,0.058823529411764705,22528,0.85,0,0.7105691056910569,0.6251788268955651,112.945086575
True,2228.5402062,extended-24,40,603.25,38,36.9,4.0,15.3,0.0,3198.5,0.95,56,1.0,0.1,0.1,56,58,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9493975903614458,AuthSynth-Symbolic,0,1.0,0.21481481481481482,1.0,0.34328358208955223,1.0,270,668,0.9782552083333333,0.9493975903614458,True,712,1.0,2080.190627225,58,1.0,1344,0.05,0,1.0,1.0,137.72853315
