analysis_latency_mean_ms,case_count,certificate_size_mean_bytes,complete_claim_count,contract_ast_node_mean,contract_clause_mean,contract_literal_mean,contract_overapproximation_ratio,contract_size_mean_bytes,convergence_rate,discovered_omission_atom_count,drift_detection_recall,exact_patch_set_rate,exact_patch_type_set_rate,expected_omission_atom_count,expected_patch_atom_count,false_verified_complete_count,false_verified_complete_rate,field_binding_accuracy,forbidden_trace_acceptance_rate,guard_accuracy,guard_exact_match_rate,guard_precision,guard_recall,maximal_permissiveness_ratio,method,old_certificate_reuse_after_drift_count,omission_atom_discovery_recall,patch_atom_precision,patch_atom_recall,patch_type_precision,patch_type_recall,predicted_patch_atom_count,replay_query_count,replay_query_reduction,safe_utility,solver_call_count,split,state_update_binding_accuracy,synthesis_latency_mean_ms,true_positive_patch_atom_count,unknown_expected_precision,unknown_induced_rejection_count,unknown_rate,unlocated_patch_record_count,unseen_effect_precision,unseen_effect_recall,verification_latency_mean_ms
24.7327025,40,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05,0.05,56,58,0,0.0,1.0,0.0,0.8142015706806283,0.0,1.0,0.0,0.004518072289156626,Coverage-Guided Replay Table,0,0.0,1.0,0.0,1.0,0.0,0,160,0.9947916666666666,0.004518072289156626,0,calibration,0.8455497382198953,0.0,0,1.0,0,0.0,0,1.0,0.0,0.0
53.2746262,40,0.0,0,20.0,4.0,2.0,0.8201657925900863,1976.9,0.0,0,0.0,0.05,0.05,56,58,0,0.0,0.9707554833468724,0.41923076923076924,0.5884816753926702,0.0,0.2082557942818474,0.4336033814723494,0.7078313253012049,Passive Symbolic Learner,0,0.0,1.0,0.0,1.0,0.0,0,160,0.9947916666666666,0.7078313253012049,0,calibration,0.5445026178010471,0.0,0,0.05,7760,1.0,0,0.1798342074099137,0.3744276153575202,0.0
4761.760447225,40,95.25,6,55.5,4.0,34.2,0.2804270462633452,4666.4,0.15,56,1.0,0.1,0.1,56,58,0,0.0,0.9455467052860246,0.0,0.9967796041596779,0.9,0.9829181494661922,1.0,0.15180722891566265,CEGIS-No-Minimization,0,1.0,0.23577235772357724,1.0,0.34328358208955223,1.0,246,860,0.9720052083333334,0.15180722891566265,904,calibration,1.0,4559.001594525,58,0.058823529411764705,22528,0.85,0,0.7195729537366548,0.7320782041998551,187.351937525
2237.952209975,40,603.25,38,36.9,4.0,15.3,0.0,3198.5,0.95,56,1.0,0.1,0.1,56,58,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9493975903614458,AuthSynth-Symbolic,0,1.0,0.21481481481481482,1.0,0.34328358208955223,1.0,270,668,0.9782552083333333,0.9493975903614458,712,calibration,1.0,2088.221080375,58,1.0,1344,0.05,0,1.0,1.0,138.9215411
0.002641275,40,0.0,40,33.3,4.0,9.0,0.0,2832.3,1.0,0,0.0,0.05,0.05,56,58,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Gold Symbolic Contract,0,0.0,1.0,0.0,1.0,0.0,0,0,1.0,1.0,0,calibration,1.0,0.0,0,1.0,0,0.0,0,1.0,1.0,0.0
0.00127495,40,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05,0.05,68,70,0,0.0,1.0,0.0,0.6392045454545454,0.0,1.0,0.0,0.0,DenyAll,0,0.0,1.0,0.0,1.0,0.0,0,0,1.0,0.0,0,development,0.771875,0.0,0,0.05,44096,1.0,0,1.0,0.0,0.0
0.0016034,40,0.0,0,33.8,3.1,12.3,0.16565656565656567,2821.3,0.0,0,0.0,0.05,0.05,68,70,0,0.0,0.9823399558498896,0.2029520295202952,0.8410326086956522,0.3,0.9151515151515152,0.594488188976378,0.9738751814223512,Declared-Contract Monitor,0,0.0,1.0,0.0,1.0,0.0,0,0,1.0,0.9738751814223512,0,development,0.978125,0.0,0,0.05,1152,1.0,0,0.8343434343434344,0.541994750656168,0.0
22.8316949,40,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05,0.05,68,70,0,0.0,1.0,0.0,0.6388588263588264,0.0,1.0,0.0,0.015987844702467342,Random Replay Table,0,0.0,1.0,0.0,1.0,0.0,0,960,0.984375,0.015987844702467342,0,development,0.7716352513227513,0.0,0,1.0,0,0.0,0,1.0,0.0,0.0
52.744672825,40,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.05,0.05,68,70,0,0.0,1.0,0.0,0.6390042724899122,0.0,1.0,0.0,0.00272133526850508,Coverage-Guided Replay Table,0,0.0,1.0,0.0,1.0,0.0,0,160,0.9973958333333334,0.00272133526850508,0,development,0.7717362924281984,0.0,0,1.0,0,0.0,0,1.0,0.0,0.0
75.882956625,40,0.0,0,17.3,3.2,2.1,0.8402407176109913,1817.9,0.0,0,0.0,0.05,0.05,68,70,0,0.0,0.8682941351592736,0.7130996309963099,0.577023498694517,0.0,0.38140115816963777,0.27607462809238104,0.877721335268505,Passive Symbolic Learner,0,0.0,1.0,0.0,1.0,0.0,0,160,0.9973958333333334,0.877721335268505,0,development,0.7407310704960836,0.0,0,0.05,5392,1.0,0,0.15975928238900874,0.11564066737897592,0.0
4215.742702375,40,31.8,2,34.6,3.4,17.2,0.7683218268720128,3024.3,0.05,44,1.0,0.1,0.1,68,70,0,0.0,0.8371976647206005,0.0,0.7624116647285089,0.1,0.6367498672331386,0.7935142289874255,0.05224963715529753,CEGIS-No-Minimization,0,0.6470588235294118,0.24731182795698925,0.6571428571428571,0.3684210526315789,0.9130434782608695,186,504,0.991796875,0.05224963715529753,548,development,0.7628987790468689,4074.03781725,46,0.05263157894736842,41792,0.95,0,0.23167817312798725,0.2887160820648577,131.95843185
4394.003464375,40,31.8,2,33.1,3.4,14.2,0.764668039114771,2858.3,0.05,44,1.0,0.1,0.1,68,70,0,0.0,0.8396257119609438,0.0,0.7624116647285089,0.1,0.6325270200720535,0.813368630046327,0.05224963715529753,AuthSynth-Symbolic,0,0.6470588235294118,0.24731182795698925,0.6571428571428571,0.3684210526315789,0.9130434782608695,186,504,0.991796875,0.05224963715529753,548,development,0.7628987790468689,4255.5805866,46,0.05263157894736842,41792,0.95,0,0.23533196088522904,0.30261416280608866,128.91517735
0.00410545,40,0.0,40,48.6,4.2,16.1,0.0,3883.9,1.0,0,0.0,0.05,0.05,68,70,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Gold Symbolic Contract,0,0.0,1.0,0.0,1.0,0.0,0,0,1.0,1.0,0,development,1.0,0.0,0,1.0,0,0.0,0,1.0,1.0,0.0
