analysis_latency_mean_ms,case_count,certificate_size_mean_bytes,complete_claim_count,contract_ast_node_mean,contract_clause_mean,contract_literal_mean,contract_overapproximation_ratio,contract_size_mean_bytes,convergence_rate,discovered_omission_atom_count,drift_detection_recall,exact_patch_set_rate,exact_patch_type_set_rate,expected_omission_atom_count,expected_patch_atom_count,false_verified_complete_count,false_verified_complete_rate,field_binding_accuracy,forbidden_trace_acceptance_rate,guard_accuracy,guard_exact_match_rate,guard_precision,guard_recall,maximal_permissiveness_ratio,method,mutation_category,old_certificate_reuse_after_drift_count,omission_atom_discovery_recall,patch_atom_precision,patch_atom_recall,patch_type_precision,patch_type_recall,predicted_patch_atom_count,replay_query_count,replay_query_reduction,safe_utility,solver_call_count,state_update_binding_accuracy,synthesis_latency_mean_ms,true_positive_patch_atom_count,unknown_expected_precision,unknown_induced_rejection_count,unknown_rate,unlocated_patch_record_count,unseen_effect_precision,unseen_effect_recall,verification_latency_mean_ms
4098.99720825,12,423.3333333333333,8,37.666666666666664,3.6666666666666665,15.0,0.3928934010152284,3212.3333333333335,0.6666666666666666,12,1.0,0.0,0.0,12,12,0,0.0,0.9088449531737773,0.0,0.9840954274353877,0.6666666666666666,0.9756345177664975,0.9756345177664975,0.5197132616487455,AuthSynth-Symbolic,alias_redirect_effect,0,1.0,0.16666666666666666,1.0,0.3333333333333333,1.0,72,216,0.982421875,0.5197132616487455,228,0.9681637293916998,3920.0798925833333,12,0.0,4288,0.3333333333333333,0,0.6071065989847716,0.6071065989847716,166.7609045
970.1849911666667,12,423.3333333333333,8,25.666666666666668,4.0,7.333333333333333,0.6708260544047916,2440.0,0.6666666666666666,20,1.0,0.0,0.0,32,32,0,0.0,0.875677863213274,0.0,0.7735057672142608,0.6666666666666666,0.6166708260544048,0.7005954068613552,0.5319148936170213,AuthSynth-Symbolic,bounded_delayed_effect,0,0.625,0.29411764705882354,0.625,0.3333333333333333,1.0,68,108,0.9912109375,0.5319148936170213,120,0.6397072621504972,885.1384735833333,20,0.0,4224,0.3333333333333333,0,0.3291739455952084,0.3739722143464701,79.04289075
584.1222893333334,12,423.3333333333333,8,14.0,2.3333333333333335,4.666666666666667,0.6860409718913768,1520.0,0.6666666666666666,12,1.0,0.0,0.0,12,12,0,0.0,0.8678542510121457,0.0,0.7166284027550016,0.6666666666666666,0.5883754168651739,1.0,0.52,AuthSynth-Symbolic,conservative_control,0,1.0,0.25,1.0,0.3333333333333333,1.0,48,92,0.9925130208333334,0.52,104,0.721087160262418,519.912682,12,0.0,4608,0.3333333333333333,0,0.31395902810862314,0.5336032388663967,60.193606083333336
3.2737269166666665,12,317.6666666666667,6,20.333333333333332,2.6666666666666665,6.666666666666667,0.0,1917.6666666666667,0.5,0,1.0,1.0,1.0,0,6,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,AuthSynth-Symbolic,exact_declared_control,0,1.0,1.0,1.0,1.0,1.0,6,0,1.0,0.5,12,1.0,0.0,6,1.0,4800,0.5,0,1.0,1.0,2.8491471666666666
3822.7509635,12,423.3333333333333,8,35.666666666666664,3.6666666666666665,15.0,0.3367037411526795,3110.0,0.6666666666666666,12,1.0,0.0,0.0,12,12,0,0.0,0.9241450777202073,0.0,0.9841164791528789,0.6666666666666666,0.9757330637007078,0.9757330637007078,0.5102040816326531,AuthSynth-Symbolic,hidden_guarded_effect,0,1.0,0.16666666666666666,1.0,0.2727272727272727,1.0,72,200,0.9837239583333334,0.5102040816326531,212,0.9681998864281658,3658.840244666667,12,0.0,4608,0.3333333333333333,0,0.6632962588473206,0.6632962588473206,152.79998491666666
3821.9321955833334,12,423.3333333333333,8,35.666666666666664,3.6666666666666665,15.0,0.3367037411526795,3112.0,0.6666666666666666,24,1.0,0.0,0.0,24,24,0,0.0,0.9241450777202073,0.0,0.9841164791528789,0.6666666666666666,0.9757330637007078,0.9757330637007078,0.5303030303030303,AuthSynth-Symbolic,implementation_drift,0,1.0,0.2857142857142857,1.0,0.42857142857142855,1.0,84,200,0.9837239583333334,0.5303030303030303,224,0.9681998864281658,3657.6232460833335,24,0.0,3968,0.3333333333333333,0,0.6632962588473206,0.6632962588473206,152.51632916666668
929.1996971666666,12,423.3333333333333,8,27.666666666666668,4.0,8.0,0.6870229007633588,2607.3333333333335,0.6666666666666666,20,1.0,0.0,0.0,24,24,0,0.0,0.9080645161290323,0.0,0.7057471264367816,0.6666666666666666,0.4732824427480916,0.8051948051948052,0.5102040816326531,AuthSynth-Symbolic,multi_branch_effect,0,0.8333333333333334,0.25,0.8333333333333334,0.2727272727272727,1.0,80,108,0.9912109375,0.5102040816326531,120,0.7208255159474671,844.44015875,20,0.0,4608,0.3333333333333333,0,0.31297709923664124,0.5324675324675324,78.79194966666667
3818.837798416667,12,423.3333333333333,8,35.666666666666664,3.6666666666666665,15.0,0.3367037411526795,3110.0,0.6666666666666666,12,1.0,0.0,0.0,12,12,0,0.0,0.9241450777202073,0.0,0.9841164791528789,0.6666666666666666,0.9757330637007078,0.9757330637007078,0.5102040816326531,AuthSynth-Symbolic,parameter_role_alias,0,1.0,0.16666666666666666,1.0,0.3333333333333333,1.0,72,200,0.9837239583333334,0.5102040816326531,212,0.9681998864281658,3654.5456054166666,12,0.0,4608,0.3333333333333333,0,0.6632962588473206,0.6632962588473206,153.01531716666668
763.6877409166667,12,423.3333333333333,8,20.0,3.0,6.333333333333333,0.6050420168067226,1996.6666666666667,0.6666666666666666,24,1.0,0.0,0.0,32,32,0,0.0,0.8923482849604222,0.0,0.7793827971109653,0.6666666666666666,0.6369747899159663,0.7595190380761523,0.5303030303030303,AuthSynth-Symbolic,state_dependent_effect,0,0.75,0.46153846153846156,0.75,0.5555555555555556,0.8333333333333334,52,104,0.9915364583333334,0.5303030303030303,116,0.7208778840742825,689.1312045,24,0.0,3968,0.3333333333333333,0,0.3949579831932773,0.4709418837675351,69.81683233333334
3817.7444238333333,12,423.3333333333333,8,35.666666666666664,3.6666666666666665,15.0,0.3367037411526795,3112.0,0.6666666666666666,12,1.0,0.0,0.0,12,12,0,0.0,0.9241450777202073,0.0,0.9841164791528789,0.6666666666666666,0.9757330637007078,0.9757330637007078,0.5102040816326531,AuthSynth-Symbolic,threshold_effect,0,1.0,0.2,1.0,0.375,1.0,60,200,0.9837239583333334,0.5102040816326531,212,0.9681998864281658,3653.004621,12,0.0,4608,0.3333333333333333,0,0.6632962588473206,0.6632962588473206,153.42350525
