case_id,domain_assignment_count,method,replay_query_count,replay_query_reduction,solver_call_count,split
f2c-train-0013,768,Random Replay Table,24,0.96875,0,train
f2c-train-0014,768,Random Replay Table,24,0.96875,0,train
f2c-train-0015,768,Random Replay Table,24,0.96875,0,train
f2c-train-0016,768,Random Replay Table,24,0.96875,0,train
f2c-train-0017,768,Random Replay Table,24,0.96875,0,train
f2c-train-0018,768,Random Replay Table,24,0.96875,0,train
f2c-train-0019,768,Random Replay Table,24,0.96875,0,train
f2c-train-0020,768,Random Replay Table,24,0.96875,0,train
f2c-train-0021,768,Random Replay Table,24,0.96875,0,train
f2c-train-0022,768,Random Replay Table,24,0.96875,0,train
f2c-train-0023,768,Random Replay Table,24,0.96875,0,train
f2c-train-0024,768,Random Replay Table,24,0.96875,0,train
f2c-train-0025,768,Random Replay Table,24,0.96875,0,train
f2c-train-0026,768,Random Replay Table,24,0.96875,0,train
f2c-train-0027,768,Random Replay Table,24,0.96875,0,train
f2c-train-0028,768,Random Replay Table,24,0.96875,0,train
f2c-train-0029,768,Random Replay Table,24,0.96875,0,train
f2c-train-0030,768,Random Replay Table,24,0.96875,0,train
f2c-train-0031,768,Random Replay Table,24,0.96875,0,train
f2c-train-0032,768,Random Replay Table,24,0.96875,0,train
f2c-train-0033,768,Random Replay Table,24,0.96875,0,train
f2c-train-0034,768,Random Replay Table,24,0.96875,0,train
f2c-train-0035,768,Random Replay Table,24,0.96875,0,train
f2c-train-0036,768,Random Replay Table,24,0.96875,0,train
f2c-train-0037,768,Random Replay Table,24,0.96875,0,train
f2c-train-0038,768,Random Replay Table,24,0.96875,0,train
f2c-train-0039,768,Random Replay Table,24,0.96875,0,train
f2c-train-0040,768,Random Replay Table,24,0.96875,0,train
f2c-train-0001,768,Coverage-Guided Replay Table,4,0.9947916666666666,0,train
f2c-train-0002,768,Coverage-Guided Replay Table,4,0.9947916666666666,0,train
f2c-train-0003,768,Coverage-Guided Replay Table,4,0.9947916666666666,0,train
f2c-train-0004,768,Coverage-Guided Replay Table,4,0.9947916666666666,0,train
f2c-train-0005,768,Coverage-Guided Replay Table,4,0.9947916666666666,0,train
f2c-train-0006,768,Coverage-Guided Replay Table,4,0.9947916666666666,0,train
f2c-train-0007,768,Coverage-Guided Replay Table,4,0.9947916666666666,0,train
f2c-train-0008,768,Coverage-Guided Replay Table,4,0.9947916666666666,0,train
f2c-train-0009,768,Coverage-Guided Replay Table,4,0.9947916666666666,0,train
f2c-train-0010,768,Coverage-Guided Replay Table,4,0.9947916666666666,0,train
f2c-train-0011,768,Coverage-Guided Replay Table,4,0.9947916666666666,0,train
