layer,validation_row_1nn_accuracy,validation_centroid_top1_accuracy,validation_centroid_mrr,validation_fact_cosine,validation_template_negative_cosine,validation_fact_over_template_margin,validation_fact_silhouette,validation_entity_probe_accuracy,validation_relation_probe_accuracy,validation_answer_probe_accuracy,test_row_1nn_accuracy,test_centroid_top1_accuracy,test_centroid_mrr,test_fact_cosine,test_template_negative_cosine,test_fact_over_template_margin,test_fact_silhouette,test_entity_probe_accuracy,test_relation_probe_accuracy,test_answer_probe_accuracy
0,0.07291666666666667,0.0625,0.16938279067103115,0.7101318836212158,0.9715865254402161,-0.26145464181900024,-0.18203651905059814,0.1770833283662796,0.5,0.0625,0.046875,0.046875,0.14612171423353407,0.7044216990470886,0.9712890982627869,-0.26686739921569824,-0.1579309105873108,0.2083333283662796,0.5,0.0572916679084301
1,0.0625,0.09375,0.18515746032327107,0.7008337378501892,0.971057653427124,-0.2702239155769348,-0.1704058051109314,0.1979166716337204,0.4895833432674408,0.0833333358168602,0.07291666666666667,0.07291666666666667,0.16387634607182175,0.6986972093582153,0.9715996980667114,-0.2729024887084961,-0.14890412986278534,0.1666666716337204,0.4166666567325592,0.046875
2,0.07291666666666667,0.07291666666666667,0.16719154749103834,0.7662402391433716,0.9737609624862671,-0.2075207233428955,-0.16440536081790924,0.2395833283662796,0.75,0.0833333358168602,0.0625,0.0625,0.16834134538189768,0.7628498673439026,0.9724524617195129,-0.20960259437561035,-0.14224214851856232,0.1927083283662796,0.3697916567325592,0.0625
3,0.07291666666666667,0.07291666666666667,0.1718674887592693,0.7107197642326355,0.9678213596343994,-0.2571015954017639,-0.15851207077503204,0.2083333283662796,0.8125,0.0729166641831398,0.07291666666666667,0.06770833333333333,0.167901428332725,0.7060975432395935,0.9655415415763855,-0.259443998336792,-0.137656107544899,0.1770833283662796,0.5989583134651184,0.0677083358168602
4,0.125,0.08333333333333333,0.20158520562790705,0.7154358625411987,0.9677503705024719,-0.2523145079612732,-0.15439137816429138,0.1666666716337204,0.8333333134651184,0.09375,0.06770833333333333,0.0625,0.17035010222288519,0.7065356373786926,0.9654908776283264,-0.2589552402496338,-0.13302867114543915,0.1822916716337204,0.6510416865348816,0.0520833320915699
5,0.11458333333333333,0.07291666666666667,0.19838492941408628,0.6650300025939941,0.9605726003646851,-0.2955425977706909,-0.1451481133699417,0.1458333283662796,0.8020833134651184,0.0625,0.052083333333333336,0.06770833333333333,0.16465612229169935,0.6582193374633789,0.9633474946022034,-0.30512815713882446,-0.1252015233039856,0.2291666716337204,0.6979166865348816,0.109375
6,0.09375,0.09375,0.2240940147315084,0.614762544631958,0.948681652545929,-0.33391910791397095,-0.13889585435390472,0.2291666716337204,0.9166666865348816,0.125,0.078125,0.046875,0.1477530029369693,0.6154549717903137,0.95621657371521,-0.34076160192489624,-0.12114647775888443,0.1979166716337204,0.75,0.0520833320915699
7,0.0625,0.10416666666666667,0.23773104115715102,0.6073486804962158,0.9357560873031616,-0.3284074068069458,-0.1382720023393631,0.1666666716337204,0.8333333134651184,0.0520833320915699,0.052083333333333336,0.0625,0.1496041183509092,0.599913477897644,0.9424148201942444,-0.34250134229660034,-0.1181173026561737,0.1822916716337204,0.515625,0.0572916679084301
