step,learning_rate,loss,fact_loss,relation_loss,entity_loss,template_loss,template_adversary_weight,gradient_norm,validation_row_1nn,validation_centroid_top1,validation_mrr,validation_fact_template_margin,validation_fact_silhouette,validation_relation_probe,validation_entity_probe,validation_template_probe,validation_partial_gate_count
50,0.0006666666666666666,1.2234385013580322,1.0164439678192139,1.0349727869033813,2.7363312244415283,1.816859245300293,0.0,3.4429211616516113,0.8541666666666666,0.8854166666666666,0.9245949074074074,0.5019217729568481,0.39727839827537537,0.8333333134651184,0.8958333134651184,1.0,6
100,0.0009993002688846913,0.9208389520645142,0.7638609409332275,0.7848901748657227,2.758493423461914,1.8042936325073242,0.0,1.399678111076355,0.7916666666666666,0.7708333333333334,0.8144938973063973,0.49790653586387634,0.5916478633880615,0.8333333134651184,0.9166666865348816,0.9861111044883728,6
150,0.0009933608878242154,0.80142742395401,0.7205783724784851,0.40424537658691406,2.8398735523223877,1.7898473739624023,0.0,0.4920991063117981,0.7916666666666666,0.7916666666666666,0.8280999599358975,0.5155833065509796,0.6595744490623474,0.8333333134651184,0.8958333134651184,1.0,6
200,0.0009814327739099229,0.7519481182098389,0.7004852294921875,0.25731441378593445,2.788217306137085,1.771484375,0.0,0.21856644749641418,0.7916666666666666,0.7916666666666666,0.8373073600848385,0.6006573736667633,0.677700936794281,0.8333333134651184,0.90625,0.9444444179534912,6
250,0.0009636607182864827,0.7373382449150085,0.7009257078170776,0.18206270039081573,2.767057180404663,1.7958215475082397,0.0,0.2099946141242981,0.7708333333333334,0.78125,0.8398115038740039,0.593236431479454,0.7017903327941895,0.8333333134651184,0.90625,0.9583333134651184,6
300,0.0009402604496344984,0.7293920516967773,0.703173041343689,0.1310950070619583,2.7891323566436768,1.7986208200454712,0.0,0.2560294568538666,0.8020833333333334,0.8020833333333334,0.8473207709535835,0.6143388152122498,0.7098862528800964,0.8333333134651184,0.90625,0.8888888955116272,6
350,0.0009115160155165614,0.7202311754226685,0.699499249458313,0.103659488260746,2.7862813472747803,1.7875667810440063,0.0,0.1380101442337036,0.78125,0.7604166666666666,0.837603021978022,0.6180323362350464,0.732628345489502,0.8333333134651184,0.90625,0.8611111044883728,6
400,0.0008777763344246211,0.7163897752761841,0.6995925903320312,0.08398590236902237,2.825451612472534,1.804214596748352,0.0,0.1884688138961792,0.8020833333333334,0.7916666666666666,0.83782173170194,0.6003292798995972,0.7203769087791443,0.8333333134651184,0.9166666865348816,0.9166666865348816,6
450,0.0008394509603821498,0.7303205132484436,0.7162139415740967,0.07053292542695999,2.7374267578125,1.789237141609192,0.0,0.5973656177520752,0.7916666666666666,0.8020833333333334,0.849016690009337,0.6090018004179001,0.7258045673370361,0.8333333134651184,0.90625,0.8888888955116272,6
500,0.0007970051115130965,0.7113519906997681,0.7002483606338501,0.05551828071475029,2.8094635009765625,1.7855106592178345,0.0,0.2006518840789795,0.7916666666666666,0.7916666666666666,0.8369743971306471,0.6053239405155182,0.7309544086456299,0.8333333134651184,0.9166666865348816,0.8194444179534912,6
550,0.0007509540229240601,0.7125513553619385,0.7021106481552124,0.05220344662666321,2.7512149810791016,1.801314353942871,0.0,0.25693607330322266,0.78125,0.7708333333333334,0.825727889009139,0.590007096529007,0.7316452860832214,0.8333333134651184,0.90625,0.8611111044883728,6
600,0.0007018566924480542,0.7174065709114075,0.7082198858261108,0.045933306217193604,2.787493944168091,1.779197096824646,0.0,0.47664058208465576,0.78125,0.78125,0.8278525583213083,0.5905206054449081,0.7337492108345032,0.8333333134651184,0.9270833134651184,0.8611111044883728,6
650,0.0006503090951680512,0.7076379060745239,0.6992148160934448,0.042115468531847,2.8283681869506836,1.7963566780090332,0.0,0.15743781626224518,0.78125,0.78125,0.840922619047619,0.6106575727462769,0.7340804934501648,0.8333333134651184,0.9166666865348816,0.8194444179534912,6
700,0.0005969369490868042,0.7056251168251038,0.6985680460929871,0.03528548777103424,2.794400930404663,1.7950801849365234,0.0,0.12235261499881744,0.7708333333333334,0.7708333333333334,0.8242426338129464,0.6065063327550888,0.7381634712219238,0.8333333134651184,0.90625,0.8333333134651184,6
750,0.0005423881197579144,0.7104817628860474,0.7034212946891785,0.0353023037314415,2.77825665473938,1.8103723526000977,0.0,0.30945920944213867,0.78125,0.7916666666666666,0.846361400462963,0.6187802404165268,0.7449643015861511,0.8333333134651184,0.9166666865348816,0.75,6
800,0.0004873247560756324,0.7100442051887512,0.7035282850265503,0.03257957100868225,2.801121473312378,1.8102973699569702,0.0,0.30834561586380005,0.78125,0.78125,0.833182519640853,0.6053262799978256,0.7453174591064453,0.8333333134651184,0.9270833134651184,0.7916666865348816,6
850,0.0004324152526842517,0.7067066431045532,0.7010094523429871,0.028485944494605064,2.7806055545806885,1.7983306646347046,0.0,0.27073901891708374,0.78125,0.7916666666666666,0.8418196097883598,0.6021414995193481,0.743269681930542,0.8333333134651184,0.9270833134651184,0.8194444179534912,6
