variant,view,selection_gate_count,public_family_macro_accuracy,public_relation_accuracy,private_validation_relation_accuracy,raw_lofo_relation_margin,known_detection_auroc
S2,phrase_only,3,1.0,1.0,1.0,0.30783188881145584,0.9652777777777778
S2,entity_masked,1,0.9814814814814815,0.9814814814814815,0.8333333333333334,0.14267159920806685,0.8825874485596708
S2,entity_masked_strip_suffix,1,0.9768518518518517,0.9768518518518519,0.8333333333333334,0.1397448082247542,0.870531121399177
S3,phrase_only,2,1.0,1.0,1.0,0.041025648514429726,0.9745370370370371
S3,entity_masked,1,1.0,1.0,0.8333333333333334,0.022571317463492353,0.9454411008230452
S3,entity_masked_strip_suffix,1,1.0,1.0,0.8333333333333334,0.022577332850131724,0.9419367283950617
S4,phrase_only,2,1.0,1.0,1.0,0.11414322091473474,0.9791666666666666
S4,entity_masked,1,0.9537037037037037,0.9537037037037037,0.6666666666666666,0.05783097575315171,0.7829539609053497
S4,entity_masked_strip_suffix,1,0.9629629629629631,0.9629629629629629,0.6666666666666666,0.059349433441335954,0.7868762860082305
