analysis_latency_mean_ms,case_count,contract_effect_recall,convergence_rate,counterexample_count,counterexample_precision,drift_detection_recall,false_verified_complete_count,forbidden_trace_acceptance_rate,gold_gap,maximal_permissiveness_ratio,method,mutation_category,policy_omission_discovery_recall,refinement_precision,replay_query_efficiency,safe_utility,spurious_counterexample_count,unknown_expected_precision,unknown_rate,validated_counterexample_count
0.18195023333333332,120,0.0,0.0,0,1.0,0.0,0,0.0,1.0,0.0,DenyAll,compound,0.0,1.0,0.0,0.0,0,1.0,0.0,0
0.188793,24,0.0,0.0,0,1.0,1.0,0,0.0,1.0,0.0,DenyAll,delayed_effect,0.0,1.0,0.0,0.0,0,1.0,0.0,0
0.21922404166666667,24,0.0,0.0,0,1.0,1.0,0,0.0,1.0,0.0,DenyAll,hidden_effect,0.0,1.0,0.0,0.0,0,1.0,0.0,0
0.18899812500000002,24,0.0,0.0,0,1.0,0.0,0,0.0,1.0,0.0,DenyAll,implementation_drift,0.0,1.0,0.0,0.0,0,1.0,0.0,0
0.17833283333333336,24,0.0,0.0,0,1.0,1.0,0,0.0,1.0,0.0,DenyAll,parameter_role_omission,0.0,1.0,0.0,0.0,0,1.0,0.0,0
0.18747608333333332,24,0.0,0.0,0,1.0,1.0,0,0.0,1.0,0.0,DenyAll,state_dependent_effect,0.0,1.0,0.0,0.0,0,1.0,0.0,0
0.3911575,6,1.0,0.0,0,1.0,1.0,0,0.0,0.0,1.0,Full-Semantics AuthSynth Upper Bound,clean_control,1.0,1.0,0.0,1.0,0,1.0,0.0,0
0.192302,24,1.0,0.0,0,1.0,1.0,0,0.0,0.0,1.0,Full-Semantics AuthSynth Upper Bound,composition_omission,0.0,1.0,0.0,1.0,0,1.0,0.0,0
0.20098220833333333,120,1.0,0.0,0,1.0,0.0,0,0.0,0.0,1.0,Full-Semantics AuthSynth Upper Bound,compound,0.0,1.0,0.0,1.0,0,1.0,0.0,0
0.19115525,24,1.0,0.0,0,1.0,1.0,0,0.0,0.0,1.0,Full-Semantics AuthSynth Upper Bound,delayed_effect,0.0,1.0,0.0,1.0,0,1.0,0.0,0
0.19398791666666668,24,1.0,0.0,0,1.0,1.0,0,0.0,0.0,1.0,Full-Semantics AuthSynth Upper Bound,hidden_effect,0.0,1.0,0.0,1.0,0,1.0,0.0,0
0.199390875,24,1.0,0.0,0,1.0,0.0,0,0.0,0.0,1.0,Full-Semantics AuthSynth Upper Bound,implementation_drift,0.0,1.0,0.0,1.0,0,1.0,0.0,0
0.19397229166666666,24,1.0,0.0,0,1.0,1.0,0,0.0,0.0,1.0,Full-Semantics AuthSynth Upper Bound,parameter_role_omission,0.0,1.0,0.0,1.0,0,1.0,0.0,0
0.19700795833333332,24,1.0,0.0,0,1.0,1.0,0,0.0,0.0,1.0,Full-Semantics AuthSynth Upper Bound,state_dependent_effect,0.0,1.0,0.0,1.0,0,1.0,0.0,0
0.2558298333333333,6,1.0,0.0,0,1.0,1.0,0,0.0,0.08333333333333337,0.9166666666666666,Multi-Evidence Characterizer,clean_control,1.0,1.0,0.0,0.6666666666666666,0,1.0,0.0,0
0.23734541666666667,24,1.0,0.0,0,1.0,1.0,0,1.0,0.0,1.0,Multi-Evidence Characterizer,composition_omission,0.0,1.0,0.0,1.0,0,1.0,0.0,0
0.24940676666666667,120,0.8245614035087719,0.0,0,1.0,0.0,0,1.0,0.0,1.0,Multi-Evidence Characterizer,compound,0.0,1.0,0.0,1.0,0,1.0,0.0,0
0.25355041666666667,24,0.8666666666666667,0.0,0,1.0,1.0,0,1.0,0.0,1.0,Multi-Evidence Characterizer,delayed_effect,0.0,1.0,0.0,1.0,0,1.0,0.0,0
0.25344483333333334,24,0.8666666666666667,0.0,0,1.0,1.0,0,1.0,0.0,1.0,Multi-Evidence Characterizer,hidden_effect,0.0,1.0,0.0,1.0,0,1.0,0.0,0
0.25188075,24,0.8666666666666667,0.0,0,1.0,0.0,0,1.0,0.0,1.0,Multi-Evidence Characterizer,implementation_drift,0.0,1.0,0.0,1.0,0,1.0,0.0,0
0.25469291666666666,24,0.8333333333333334,0.0,0,1.0,1.0,0,1.0,0.0,1.0,Multi-Evidence Characterizer,parameter_role_omission,0.0,1.0,0.0,1.0,0,1.0,0.0,0
0.2502035833333333,24,0.8666666666666667,0.0,0,1.0,1.0,0,1.0,0.0,1.0,Multi-Evidence Characterizer,state_dependent_effect,0.0,1.0,0.0,1.0,0,1.0,0.0,0
