score,selected,temperature,threshold,known_detection_auroc,known_detection_aupr,known_ece,tnr_at_95_known_coverage,known_coverage,ambiguous_false_accept_rate,unrelated_false_accept_rate,worst_reject_family_false_accept_rate,research_gate_count
G1_max_softmax,False,0.5,0.3995954394340515,0.8991769547325102,0.92669969587726,0.2806955529122237,0.5,0.9629629629629629,0.6666666666666666,0.3333333333333333,1.0,1
G2_top_logit_margin,False,0.5,0.1674785614013672,0.8868312757201646,0.9175836172452191,0.2806955529122237,0.4722222222222222,0.9629629629629629,0.6666666666666666,0.3888888888888889,1.0,1
G3_definition_margin,True,0.5,0.14040392637252808,0.9305555555555556,0.9489697145914897,0.5083326999802726,0.8333333333333334,1.0,0.3333333333333333,0.0,1.0,3
