step,private_answer_loss,public_preserve_kl,aux_gradient_norm,learning_rate,elapsed_seconds
1,11.745099067687988,-1.6641814593043591e-09,0.1279296875,5e-05,1.1115876999683678
25,7.4995317459106445,0.08465881645679474,0.72265625,0.00125,4.510622899979353
50,4.207485675811768,0.18754562735557556,0.51953125,0.001976315789473684,6.734887499827892
75,4.041685581207275,0.15971118211746216,0.37890625,0.0019105263157894736,9.058443900197744
100,4.229309558868408,0.08989215642213821,0.353515625,0.0018447368421052634,11.608784100040793
125,3.824079990386963,0.07162132859230042,0.376953125,0.0017789473684210527,14.120602699927986
150,3.7243683338165283,0.06223048269748688,0.349609375,0.0017131578947368422,16.47615720005706
175,3.7720978260040283,0.06556928902864456,0.3828125,0.0016473684210526315,18.844165100250393
200,3.4439661502838135,0.04390021413564682,0.404296875,0.001581578947368421,21.108053300064057
225,3.6547303199768066,0.04239940643310547,0.37890625,0.0015157894736842106,23.633366300258785
250,3.7778518199920654,0.03617797791957855,0.3359375,0.00145,25.919375599827617
275,3.6531519889831543,0.043552909046411514,0.439453125,0.0013842105263157896,28.2159859999083
300,3.764819622039795,0.04298919811844826,0.5859375,0.001318421052631579,30.47130009997636
325,3.4866883754730225,0.03649052605032921,0.365234375,0.0012526315789473683,33.19553070003167
350,3.65775728225708,0.027947869151830673,0.384765625,0.001186842105263158,35.648338600061834
375,4.040301322937012,0.03159693628549576,0.341796875,0.0011210526315789473,37.89295719983056
400,3.3108460903167725,0.02751433663070202,0.40625,0.0010552631578947369,40.2675971002318
425,3.998356342315674,0.03258701041340828,0.33984375,0.0009894736842105264,42.871866799890995
450,3.67647385597229,0.028738196939229965,0.373046875,0.0009236842105263158,45.21758109983057
475,3.5220465660095215,0.028686698526144028,0.478515625,0.0008578947368421052,47.71090959990397
500,3.6101558208465576,0.02826572395861149,0.392578125,0.0007921052631578948,49.97931340010837
525,4.195316314697266,0.02748361974954605,0.38671875,0.0007263157894736843,52.66880769981071
550,3.7430715560913086,0.024520162492990494,0.38671875,0.0006605263157894737,55.082603100221604
575,3.448835849761963,0.02988273836672306,0.43359375,0.0005947368421052631,57.602973100263625
600,3.219414234161377,0.020767804235219955,0.4296875,0.0005289473684210527,59.953610400203615
625,3.0208473205566406,0.020683079957962036,0.412109375,0.00046315789473684214,62.85393360024318
650,3.519761085510254,0.02579387277364731,0.3828125,0.0003973684210526316,65.49040480004624
675,3.4462475776672363,0.024821756407618523,0.4296875,0.00033157894736842103,67.83943310007453
700,3.654916286468506,0.025410648435354233,0.4453125,0.0002657894736842105,70.08933170000091
725,3.342097759246826,0.021079692989587784,0.4375,0.0002,72.58090389985591
750,3.293416976928711,0.024697642773389816,0.40625,0.00013421052631578948,74.9643554999493
775,3.4636926651000977,0.023595090955495834,0.388671875,6.842105263157896e-05,77.25322990026325
800,3.643331527709961,0.024234279990196228,0.451171875,2.631578947368421e-06,79.54788450011984
